lad19cd,ex_prob
E06000001,0.9611
E06000002,0.4832
E06000003,0.0719
E06000004,0.6595
E06000005,0.5072
E06000006,0.1655
E06000007,0.3311
E06000008,0.8436
E06000009,0.8452
E06000010,0.8519
E06000011,0.5216
E06000012,0.4706
E06000013,0.1303
E06000014,0.7353
E06000015,0.3922
E06000016,0.7781
E06000017,0.2872
E06000018,0.4316
E06000019,0.1009
E06000020,0.2438
E06000021,0.6431
E06000022,0.508
E06000023,0.7145
E06000024,0.2287
E06000025,0.1735
E06000026,0.3338
E06000027,0.6358
E06000030,0.9618
E06000031,0.742
E06000032,0.6746
E06000033,0.1541
E06000034,0.7595
E06000035,0.9004
E06000036,0.3816
E06000037,0.9718
E06000038,0.4438
E06000039,0.4271
E06000040,0.6845
E06000041,0.3147
E06000042,0.5269
E06000043,0.7925
E06000044,0.591
E06000045,0.9439
E06000046,0
E06000047,0.2825
E06000049,0.0121
E06000050,0.392
E06000051,0.9812
"E06000052,E06000053",0.7422
E06000054,0.8429
E06000055,0.843
E06000056,0.3443
E06000057,0.2293
E06000058,0.2223
E06000059,0.1421
E07000004,0.0592
E07000005,0.4023
E07000006,0.7081
E07000007,0.3761
E07000008,0.9111
E07000009,0
E07000010,0.9024
E07000011,0.57
E07000012,0.0976
E07000026,0.531
E07000027,0.3859
E07000028,0.3874
E07000029,0.539
E07000030,0.4814
E07000031,0.8271
E07000032,0.883
E07000033,0.9386
E07000034,0.233
E07000035,0.5007
E07000036,0.5647
E07000037,0.9614
E07000038,0.3301
E07000039,0.3789
E07000040,0.2207
E07000041,0.7748
E07000042,0.6567
E07000043,0.6951
E07000044,0.2492
E07000045,0
E07000046,0
E07000047,0
E07000061,0.4808
E07000062,0.6684
E07000063,0.4991
E07000064,0.1791
E07000065,0.5091
E07000066,0.4422
E07000067,0.6476
E07000068,0.5884
E07000069,0.7019
E07000070,0.935
E07000071,0.9841
E07000072,0.2107
E07000073,0.1418
E07000074,0.6221
E07000075,0
E07000076,0.9304
E07000077,0.5159
E07000078,0.6398
E07000079,0.8112
E07000080,0.2685
E07000081,0
E07000082,0.93
E07000083,0.1524
E07000084,0.5335
E07000085,0.5946
E07000086,0.8032
E07000087,0.3475
E07000088,0.3831
E07000089,0.3563
E07000090,0.8142
E07000091,0.6098
E07000092,0.4921
E07000093,0.8359
E07000094,0.1035
E07000095,0.2628
E07000096,0.8792
E07000098,0.4731
E07000099,0.1468
E07000102,0.8361
E07000103,0.7181
E07000105,0.8614
E07000106,0.8459
E07000107,0.8418
E07000108,0.8099
E07000109,0.8214
E07000110,0.444
E07000111,0.6579
E07000112,0.9576
E07000113,0.618
E07000114,0.6412
E07000115,0.9724
E07000116,0.9763
E07000117,0.7608
E07000118,0.5355
E07000119,0.0909
E07000120,0.8836
E07000121,0.6565
E07000122,0.97
E07000123,0.9183
E07000124,0.3041
E07000125,0.1573
E07000126,0.3001
E07000127,0.9536
E07000128,0.0792
E07000129,0.1026
E07000130,0.5655
E07000131,0.2647
E07000132,0.036
E07000133,0.9561
E07000134,0.8518
E07000135,0.3607
E07000136,0.9116
E07000137,0.5489
E07000138,0.3992
E07000139,0.3196
E07000140,0.1305
E07000141,0.7346
E07000142,0
E07000143,0.8763
E07000144,0.1148
E07000145,0.4022
E07000146,0.1429
E07000147,0.5418
E07000148,0.7103
E07000149,0.4611
E07000150,0.8057
E07000151,0.2724
E07000152,0.4989
E07000153,0.4419
E07000154,0.5397
E07000155,0.3671
E07000156,0.4615
E07000163,0.161
E07000164,0
E07000165,0.7907
E07000166,0
E07000167,0
E07000168,0
E07000169,0.1958
E07000170,0.5578
E07000171,0.8947
E07000172,0.7196
E07000173,0.6224
E07000174,0.3499
E07000175,0.6188
E07000176,0.4334
E07000177,0.2718
E07000178,0.994
E07000179,0.5722
E07000180,0.9191
E07000181,0.9738
E07000187,0.4105
E07000188,0.3379
E07000189,0.6161
E07000192,0.9366
E07000193,0.3853
E07000194,0.2804
E07000195,0.5095
E07000196,0.7957
E07000197,0.4338
E07000198,0.322
E07000199,0.098
E07000200,0.8425
E07000202,0.8791
E07000203,0.8019
E07000207,0.6454
E07000208,0.3304
E07000209,0.7279
E07000210,0.5943
E07000211,0.6263
E07000212,0.6825
E07000213,0.108
E07000214,0.5092
E07000215,0.9691
E07000216,0.4777
E07000217,0.4673
E07000218,0.4229
E07000219,0.6433
E07000220,0.1787
E07000221,0.1687
E07000222,0.6567
E07000223,0.7136
E07000224,0.829
E07000225,0.8074
E07000226,0.9948
E07000227,0.8016
E07000228,0.2617
E07000229,0.4414
E07000234,0.8049
E07000235,0.6327
E07000236,0.1148
E07000237,0.9314
E07000238,0.9367
E07000239,0
E07000240,0.7059
E07000241,0.1194
E07000242,0.4462
E07000243,0.3254
E07000244,0.7045
E07000245,0.6432
E07000246,0.6333
E08000001,0.9649
E08000002,0.5092
E08000003,0.9484
E08000004,1
E08000005,0.7401
E08000006,0.9469
E08000007,0.9582
E08000008,0.9987
E08000009,0.9971
E08000010,0.8216
E08000011,0.9026
E08000012,0.8388
E08000013,0.6454
E08000014,0.7312
E08000015,0.9642
E08000016,0.7947
E08000017,0.2655
E08000018,0.3926
E08000019,0.9081
E08000021,0.0097
E08000022,0.7111
E08000023,0.787
E08000024,0.0208
E08000025,0.5178
E08000026,0.7968
E08000027,0.7838
E08000028,0.8127
E08000029,0.19
E08000030,0.549
E08000031,0.9916
E08000032,0.9147
E08000033,0.8474
E08000034,0.5614
E08000035,0.3965
E08000036,0.8172
E08000037,0.2173
"E09000001,E09000033",0.0905
E09000002,0.5384
E09000003,0.6631
E09000004,0.7642
E09000005,0.9355
E09000006,0.2967
E09000007,0.2297
E09000008,0.3318
E09000009,0.9254
E09000010,0.5685
E09000011,0.7984
E09000012,0.9119
E09000013,0.8539
E09000014,0.8741
E09000015,0.8098
E09000016,0.8318
E09000017,0.4238
E09000018,0.7922
E09000019,0.6452
E09000020,0.7884
E09000021,0.3872
E09000022,0.8143
E09000023,0.4941
E09000024,0.5117
E09000025,0.2613
E09000026,0.6965
E09000027,0.7485
E09000028,0.7845
E09000029,0.9684
E09000030,0.7539
E09000031,0.176
E09000032,0.4685
