lad19cd,ex_prob
E06000001,0.858
E06000002,0.6015
E06000003,0.4872
E06000004,0.1905
E06000005,0.0966
E06000006,0.3928
E06000007,0.7094
E06000008,0.992
E06000009,0.8251
E06000010,0.6539
E06000011,0.4453
E06000012,0.5806
E06000013,0.231
E06000014,0.4693
E06000015,0.9032
E06000016,0.7066
E06000017,0.8628
E06000018,0.5452
E06000019,0.1915
E06000020,0.991
E06000021,0.7342
E06000022,0.258
E06000023,0.8247
E06000024,0.0349
E06000025,0.2102
E06000026,0.1204
E06000027,0.1544
E06000030,0.7597
E06000031,0.7961
E06000032,0.9719
E06000033,0.2256
E06000034,0.8568
E06000035,0.1652
E06000036,0.6999
E06000037,0.1049
E06000038,0.5033
E06000039,0.8948
E06000040,0.3031
E06000041,0.1328
E06000042,0.2957
E06000043,0.0965
E06000044,0.0859
E06000045,0.1389
E06000046,0.636
E06000047,0.2621
E06000049,0.4737
E06000050,0.1728
E06000051,0.8146
"E06000052,E06000053",0.0617
E06000054,0.0717
E06000055,0.2979
E06000056,0.7173
E06000057,0.7469
E06000058,0.2945
E06000059,0.1424
E07000004,0.3463
E07000005,0.6248
E07000006,0.4382
E07000007,0.7821
E07000008,0.9747
E07000009,0.7602
E07000010,0.9118
E07000011,0.7562
E07000012,0.3554
E07000026,0.8798
E07000027,0.5826
E07000028,0.4969
E07000029,0.6332
E07000030,0.6937
E07000031,0.7599
E07000032,0.3898
E07000033,0.5853
E07000034,0.2742
E07000035,0
E07000036,0.2103
E07000037,0.116
E07000038,0.1075
E07000039,0.7435
E07000040,0.076
E07000041,0.437
E07000042,0.1642
E07000043,0.1243
E07000044,0.2144
E07000045,0
E07000046,0
E07000047,0.1764
E07000061,0.6727
E07000062,0.2901
E07000063,0.8962
E07000064,0.08
E07000065,0.7271
E07000066,0.2698
E07000067,0.5646
E07000068,0.4918
E07000069,0.535
E07000070,0.1804
E07000071,0.2579
E07000072,0.8011
E07000073,0.1593
E07000074,0.1247
E07000075,0.1471
E07000076,0.1912
E07000077,0.7044
E07000078,0.3649
E07000079,0.0267
E07000080,0.3455
E07000081,0.0402
E07000082,0.5674
E07000083,0.1709
E07000084,0
E07000085,0.2952
E07000086,0.533
E07000087,0.0901
E07000088,0.0936
E07000089,0.4617
E07000090,0.3098
E07000091,0.4258
E07000092,0.843
E07000093,0.4662
E07000094,0
E07000095,0.447
E07000096,0.3138
E07000098,0.4764
E07000099,0.8577
E07000102,0.3903
E07000103,0.984
E07000105,0.0088
E07000106,0.2119
E07000107,0.4197
E07000108,0.0342
E07000109,0.7998
E07000110,0.1084
E07000111,0.6511
E07000112,0.5765
E07000113,0.0472
E07000114,0.4128
E07000115,0.045
E07000116,0.7441
E07000117,0.8839
E07000118,0.2888
E07000119,0.4229
E07000120,0.978
E07000121,0.0487
E07000122,0.8805
E07000123,0.7893
E07000124,0.2992
E07000125,0.5377
E07000126,0.1962
E07000127,0.724
E07000128,0.7827
E07000129,0.0983
E07000130,0.8666
E07000131,0.1555
E07000132,0.3818
E07000133,0.8479
