lad19cd,ex_prob
E06000001,0.7197
E06000002,0.8179
E06000003,0.7996
E06000004,0.5052
E06000005,0.1521
E06000006,0.6364
E06000007,0.0466
E06000008,0.993
E06000009,0.6614
E06000010,0.8963
E06000011,0.6226
E06000012,0.8567
E06000013,0.3971
E06000014,0.232
E06000015,0.74
E06000016,0.5201
E06000017,0.4357
E06000018,0.8336
E06000019,0.638
E06000020,0.9922
E06000021,0.9069
E06000022,0.6636
E06000023,0.6413
E06000024,0.1602
E06000025,0.0285
E06000026,0.0921
E06000027,0.108
E06000030,0.7738
E06000031,0.4573
E06000032,0.2205
E06000033,0.5315
E06000034,0.6762
E06000035,0.0501
E06000036,0.8457
E06000037,0.4439
E06000038,0.6086
E06000039,0.7294
E06000040,0.6162
E06000041,0.156
E06000042,0.5484
E06000043,0.2802
E06000044,0.1983
E06000045,0.5513
E06000046,0.0554
E06000047,0.8578
E06000049,0.7487
E06000050,0.4762
E06000051,0.751
"E06000052,E06000053",0.0365
E06000054,0.6121
E06000055,0.3212
E06000056,0.5792
E06000057,0.7354
E06000058,0.2729
E06000059,0.3056
E07000004,0.4919
E07000005,0.7387
E07000006,0.5319
E07000007,0.6494
E07000008,0.8753
E07000009,0.8386
E07000010,0.2926
E07000011,0.4188
E07000012,0.1382
E07000026,0.9459
E07000027,0.6038
E07000028,0.3319
E07000029,0.2386
E07000030,0.2271
E07000031,0.9312
E07000032,0.5754
E07000033,0.4918
E07000034,0.5157
E07000035,0
E07000036,0.5418
E07000037,0.3226
E07000038,0.3159
E07000039,0.3942
E07000040,0.1041
E07000041,0.3352
E07000042,0.1684
E07000043,0.1318
E07000044,0.0576
E07000045,0
E07000046,0
E07000047,0.2298
E07000061,0.242
E07000062,0.4855
E07000063,0.8882
E07000064,0.1008
E07000065,0.7476
E07000066,0.3415
E07000067,0.2958
E07000068,0.7938
E07000069,0.6858
E07000070,0.5567
E07000071,0.5112
E07000072,0.3006
E07000073,0.2309
E07000074,0.2009
E07000075,0.1465
E07000076,0.1484
E07000077,0.9577
E07000078,0.602
E07000079,0.0588
E07000080,0.3482
E07000081,0.0182
E07000082,0.4905
E07000083,0.1829
E07000084,0.0182
E07000085,0.6858
E07000086,0.6704
