lad19cd,ex_prob
E06000001,0.8065
E06000002,0.4778
E06000003,0.0932
E06000004,0.8316
E06000005,0.3017
E06000006,0.2135
E06000007,0.3421
E06000008,0.9957
E06000009,0.4758
E06000010,0.1956
E06000011,0.3257
E06000012,0.1699
E06000013,0.3368
E06000014,0.2729
E06000015,0.4028
E06000016,0.9241
E06000017,0.2844
E06000018,0.4564
E06000019,0.9126
E06000020,0.2858
E06000021,0.636
E06000022,0.3505
E06000023,0.7411
E06000024,0.3043
E06000025,0.3453
E06000026,0.331
E06000027,0.5225
E06000030,0.9987
E06000031,0.8968
E06000032,0.8081
E06000033,0.6533
E06000034,0.6163
E06000035,0.3894
E06000036,0.384
E06000037,0.6264
E06000038,0.9411
E06000039,0.7153
E06000040,0.8218
E06000041,0.5532
E06000042,0.6439
E06000043,0.8873
E06000044,0.1787
E06000045,0.8515
E06000046,0.2284
E06000047,0.7042
E06000049,0.4616
E06000050,0.7179
E06000051,0.8134
"E06000052,E06000053",0.6415
E06000054,0.4979
E06000055,0.9139
E06000056,0.0538
E06000057,0.1753
E06000058,0.5453
E06000059,0.0318
E07000004,0.4383
E07000005,0.5906
E07000006,0.7707
E07000007,0.3033
E07000008,0.8051
E07000009,0
E07000010,0.8271
E07000011,0.7494
E07000012,0.3004
E07000026,0.7302
E07000027,0.1741
E07000028,0.6902
E07000029,0.8224
E07000030,0.9235
E07000031,0.8833
E07000032,0.8506
E07000033,0.9407
E07000034,0.261
E07000035,0.1764
E07000036,0.7131
E07000037,0.7597
E07000038,0.4575
E07000039,0.653
E07000040,0.6045
E07000041,0.5509
E07000042,0.6028
E07000043,0.7147
E07000044,0
E07000045,0.1566
E07000046,0
E07000047,0
E07000061,0.4818
E07000062,0.5353
E07000063,0.5755
E07000064,0.2114
E07000065,0.6776
E07000066,0.3391
E07000067,0.7609
E07000068,0.1107
E07000069,0.836
E07000070,0.8169
E07000071,0.3981
E07000072,0.8127
E07000073,0.4834
E07000074,0.3109
