lad19cd,ex_prob
E06000001,0.8093
E06000002,0.9173
E06000003,0.6588
E06000004,0.435
E06000005,0.3429
E06000006,0.43
E06000007,0.5948
E06000008,0.9974
E06000009,0.4525
E06000010,0.9105
E06000011,0.0716
E06000012,0.8831
E06000013,0.8054
E06000014,0.4673
E06000015,0.9282
E06000016,0.611
E06000017,0.5133
E06000018,0.7442
E06000019,0.5062
E06000020,0.9919
E06000021,0.2547
E06000022,0.4766
E06000023,0.5688
E06000024,0.5272
E06000025,0.7377
E06000026,0.59
E06000027,0.4088
E06000030,0.9193
E06000031,0.6559
E06000032,0.7747
E06000033,0.9745
E06000034,0.6679
E06000035,0.1737
E06000036,0.4842
E06000037,0.686
E06000038,0.9066
E06000039,0.5678
E06000040,0.5617
E06000041,0.0333
E06000042,0.2145
E06000043,0.5066
E06000044,0.5161
E06000045,0.0917
E06000046,0
E06000047,0.2525
E06000049,0.9041
E06000050,0.4391
E06000051,0.0328
"E06000052,E06000053",0.2051
E06000054,0.249
E06000055,0.9851
E06000056,0.867
E06000057,0.4215
E06000058,0.7328
E06000059,0.2567
E07000004,0.8049
E07000005,0.3668
E07000006,0.5001
E07000007,0.6387
E07000008,0.314
E07000009,0.7008
E07000010,0.7242
E07000011,0.9278
E07000012,0.8945
E07000026,0.8618
E07000027,0
E07000028,0.9924
E07000029,0.6838
E07000030,0.9979
E07000031,0.67490000000000006
E07000032,0.4433
E07000033,0.1951
E07000034,0.3214
E07000035,0.5815
E07000036,0.4686
E07000037,0.8548
E07000038,0.5544
E07000039,0.8505
E07000040,0.9605
E07000041,0.5083
E07000042,0.3198
E07000043,0
E07000044,0.4219
E07000045,0.8525
E07000046,0
E07000047,0
E07000061,0.8199
E07000062,0.5979
E07000063,0.3422
E07000064,0.2953
E07000065,0.5959
E07000066,0.7096
E07000067,0.8225
E07000068,0.7285
E07000069,0.7896
E07000070,0.7981
E07000071,0.4203
E07000072,0.5558
E07000073,0.6183
E07000074,0.8377
E07000075,0.6786
E07000076,0.9223
E07000077,0.9417
E07000078,0.677
E07000079,0.3706
E07000080,0.4651
E07000081,0.6288
E07000082,0.3008
E07000083,0.2563
E07000084,0.464
E07000085,0.4867
E07000086,0.6049
E07000087,0.2622
E07000088,0.5771
E07000089,0
E07000090,0.127
E07000091,0.5762
E07000092,0.5183
E07000093,0
E07000094,0.2359
E07000095,0.3768
E07000096,0.2848
E07000098,0.3444
E07000099,0.8207
E07000102,0.2272
E07000103,0.9755
E07000105,0.9895
E07000106,0.8806
E07000107,0.836
E07000108,0.6147
E07000109,0.9473
E07000110,0.9789
E07000111,0.6101
E07000112,0.3299
E07000113,0.5903
E07000114,0.9099
E07000115,0.2
E07000116,0.0355
E07000117,0.4711
E07000118,0.2971
E07000119,0.7232
