lad19cd,ex_prob
E06000001,0.999
E06000002,0.9979
E06000003,0.9105
E06000004,0.8283
E06000005,0.327
E06000006,0.9934
E06000007,0.9993
E06000008,0.9813
E06000009,0.9561
E06000010,0.6562
E06000011,0.7227
E06000012,0.6133
E06000013,0.7097
E06000014,0.9036
E06000015,0.8322
E06000016,0.9882
E06000017,0.1114
E06000018,0.969
E06000019,0.78
E06000020,0.8275
E06000021,0.9431
E06000022,0.8078
E06000023,0.7723
E06000024,0.9894
E06000025,0.4281
E06000026,0.3084
E06000027,0.6621
E06000030,0.7175
E06000031,0.8556
E06000032,0.9956
E06000033,0.5244
E06000034,0.8182
E06000035,0.5128
E06000036,0.8089
E06000037,0.4044
E06000038,0.8501
E06000039,0.9491
E06000040,0.6345
E06000041,0.5099
E06000042,0.7439
E06000043,0.4439
E06000044,0.253
E06000045,0.293
E06000046,0.3433
E06000047,0.9205
E06000049,0.9231
E06000050,0.8958
E06000051,0.5279
"E06000052,E06000053",0.1627
E06000054,0.9381
E06000055,0.5404
E06000056,0.7328
E06000057,0.8829
E06000058,0.8063
E06000059,0.5009
E07000004,0.4992
E07000005,0.7846
E07000006,0.2926
E07000007,0.392
E07000008,0.4689
E07000009,0.0151
E07000010,0.0878
E07000011,0.0599
E07000012,0.5016
E07000026,0.6875
E07000027,0.9958
E07000028,0.5254
E07000029,0.0822
E07000030,0.5655
E07000031,0.8372
E07000032,0.757
E07000033,0.8464
E07000034,0.7865
E07000035,0.1097
E07000036,0.566
E07000037,0.9453
E07000038,0.9149
E07000039,0.9591
E07000040,0.5124
E07000041,0.3277
E07000042,0.2185
E07000043,0.6656
E07000044,0.2942
E07000045,0.1864
E07000046,0.6374
E07000047,0.08
E07000061,0.9858
E07000062,0.7969
E07000063,0.4498
E07000064,0.7324
E07000065,0.6536
E07000066,0.7929
E07000067,0.5639
E07000068,0.4166
E07000069,0.9411
E07000070,0.4962
E07000071,0.294
E07000072,0.6234
E07000073,0.0813
E07000074,0.211
E07000075,0.2213
E07000076,0.0467
E07000077,0.9667
E07000078,0.3801
E07000079,0.1669
E07000080,0.3715
E07000081,0.386
E07000082,0.3009
E07000083,0.1444
E07000084,0.4402
E07000085,0.5638
E07000086,0.3844
E07000087,0.3336
E07000088,0.1487
E07000089,0.4893
E07000090,0.1083
E07000091,0.977
E07000092,0.6115
E07000093,0.9909
E07000094,0.0063
E07000095,0.8058
E07000096,0.7033
E07000098,0.9988
E07000099,0.8941
E07000102,0.6852
E07000103,0.9377
E07000105,0.108
E07000106,0.5553
E07000107,0.1519
E07000108,0.8742
E07000109,0.8916
E07000110,0.4878
E07000111,0.8366
E07000112,0.7609
E07000113,0.5511
E07000114,0.0982
E07000115,0.2903
E07000116,0.7267
E07000117,0.9911
E07000118,0.8078
E07000119,0.6227
E07000120,0.9985
E07000121,0.9034
E07000122,0.9064
E07000123,0.9909
E07000124,0.1949
E07000125,0.8236
E07000126,0.9851
E07000127,0.9976
E07000128,0.8764
E07000129,0.9987
E07000130,0.9149
E07000131,0.6931
E07000132,0.6163
E07000133,0.997
E07000134,0.8297
E07000135,0.9917
E07000136,0.2247
E07000137,0.691
E07000138,0.999
E07000139,0.9663
E07000140,0.1595
E07000141,0.7253
E07000142,0.9858
E07000143,0.1017
E07000144,0.5645
E07000145,0.5412
E07000146,0.3475
E07000147,0.2026
E07000148,0.4792
E07000149,0.1674
E07000150,0.9675
E07000151,0.8217
E07000152,0.9522
E07000153,0.8771
E07000154,0.9261
E07000155,0.4535
E07000156,0.9032
E07000163,0.7436
E07000164,0.176
E07000165,0.9635
E07000166,0.2494
E07000167,0.7811
E07000168,0.9997
E07000169,0.9975
E07000170,0.978
E07000171,0.7852
E07000172,1
E07000173,0.803
E07000174,0.9872
E07000175,0.7428
E07000176,0.8629
E07000177,0.8154
E07000178,0.9604
E07000179,0.6742
E07000180,0.5257
E07000181,0.751
E07000187,0.7981
E07000188,0.0866
E07000189,0.5375
E07000192,0.7884
E07000193,0.8842
E07000194,0.3961
E07000195,0.7884
E07000196,0.9878
E07000197,0.9324
E07000198,0.9448
E07000199,0.6518
E07000200,0.7454
E07000202,0.4996
E07000203,0.5689
E07000207,0.9224
E07000208,0.8329
E07000209,0.6113
E07000210,0.4154
E07000211,0.856
E07000212,0.6658
E07000213,0.9136
E07000214,0.8427
E07000215,0.7338
E07000216,0.7534
E07000217,0.974
E07000218,0.3828
E07000219,0.798
E07000220,0.9924
E07000221,0.6986
E07000222,0.6435
E07000223,0.6837
E07000224,0.9669
E07000225,0.9068
E07000226,0.1678
E07000227,0.5292
E07000228,0.4046
E07000229,0.9953
E07000234,0.9724
E07000235,0.993
E07000236,0.5696
E07000237,0.6796
E07000238,0.98740000000000006
E07000239,0.4941
E07000240,0.9192
E07000241,0.6025
E07000242,0.336
E07000243,0.8448
E07000244,0.2338
E07000245,0.7615
E07000246,0.693
E08000001,0.9819
E08000002,0.9903
E08000003,0.8423
E08000004,0.9293
E08000005,0.9848
E08000006,0.959
E08000007,0.9529
E08000008,0.9732
E08000009,0.5202
E08000010,0.966
E08000011,0.9981
E08000012,0.9943
E08000013,0.9988
E08000014,0.9816
E08000015,0.9837
E08000016,0.9896
E08000017,0.6866
E08000018,0.8201
E08000019,0.7563
E08000021,0.977
E08000022,0.9871
E08000023,0.9314
E08000024,1
E08000025,0.9274
E08000026,0.788
E08000027,0.9135
E08000028,0.7901
E08000029,0.9992
E08000030,0.8722
E08000031,0.9947
E08000032,0.8772
E08000033,0.9838
E08000034,0.9354
E08000035,0.8927
E08000036,0.7774
E08000037,0.9937
"E09000001,E09000033",0.1575
E09000002,0.9869
E09000003,0.7772
E09000004,0.2882
E09000005,0.4866
E09000006,0.8273
E09000007,0.2752
E09000008,0.8712
E09000009,0.9284
E09000010,0.8983
E09000011,0.4235
E09000012,0.7998
E09000013,0.8682
E09000014,0.8557
E09000015,0.9312
E09000016,0.8737
E09000017,0.6666
E09000018,0.9745
E09000019,0.8211
E09000020,0.9115
E09000021,0.8603
E09000022,0.8029
E09000023,0.7982
E09000024,0.6133
E09000025,0.9538
E09000026,0.9862
E09000027,0.6529
E09000028,0.7927
E09000029,0.579
E09000030,0.8288
E09000031,0.6617
E09000032,0.5917
