lad19cd,ex_prob
E06000001,0.7864
E06000002,0.9571
E06000003,0.5597
E06000004,0.3386
E06000005,0.6125
E06000006,0.9241
E06000007,0.4184
E06000008,0.9669
E06000009,0.7121
E06000010,0.1175
E06000011,0.0126
E06000012,0.0776
E06000013,0.1431
E06000014,0.1318
E06000015,0.9323
E06000016,0.8255
E06000017,0
E06000018,0.7215
E06000019,0.9539
E06000020,0.6331
E06000021,0.9096
E06000022,0.6128
E06000023,0.158
E06000024,0.3931
E06000025,0.5244
E06000026,0.3406
E06000027,0.0509
E06000030,0.9837
E06000031,0.7482
E06000032,0.7955
E06000033,0.0519
E06000034,0.0865
E06000035,0.2011
E06000036,0.4229
E06000037,0.2643
E06000038,0.1211
E06000039,0.8767
E06000040,0.4277
E06000041,0.3893
E06000042,0.1792
E06000043,0.156
E06000044,0.3999
E06000045,0.0445
E06000046,0.0767
E06000047,0.0216
E06000049,0.7415
E06000050,0.282
E06000051,0.6144
"E06000052,E06000053",0.0236
E06000054,0.4314
E06000055,0.684
E06000056,0.76
E06000057,0.2333
E06000058,0.0118
E06000059,0.2741
E07000004,0.4665
E07000005,0.5073
E07000006,0.5962
E07000007,0.7829
E07000008,0.5891
E07000009,0.2215
E07000010,0.7341
E07000011,0.8273
E07000012,0.2852
E07000026,0.7801
E07000027,0.1042
E07000028,0.9448
E07000029,0.6792
E07000030,0.6226
E07000031,0.5585
E07000032,0.0668
E07000033,0.3639
E07000034,0.6972
E07000035,0.8188
E07000036,0.5724
E07000037,0.818
E07000038,0.7133
E07000039,0.864
E07000040,0.5184
E07000041,0.1105
E07000042,0.2517
E07000043,0
E07000044,0
E07000045,0
E07000046,0.6774
E07000047,0.306
E07000061,0.3255
E07000062,0.5285
E07000063,0.2943
E07000064,0.1857
E07000065,0.0759
E07000066,0.2118
E07000067,0.2002
E07000068,0.1662
E07000069,0.3895
E07000070,0.4674
E07000071,0.2194
E07000072,0.3265
E07000073,0.7597
E07000074,0.4878
E07000075,0.1153
E07000076,0.612
E07000077,0.4212
E07000078,0.0351
E07000079,0.5327
E07000080,0
E07000081,0.1681
E07000082,0.3373
