lad19cd,ex_prob
E06000001,0.9846
E06000002,0.6807
E06000003,0.4936
E06000004,0.0967
E06000005,0.2281
E06000006,0.6816
E06000007,0.7184
E06000008,0.9986
E06000009,0.6715
E06000010,0.9084
E06000011,0.3567
E06000012,0.878
E06000013,0.5282
E06000014,0.3558
E06000015,0.035
E06000016,0.7533
E06000017,0.8434
E06000018,0.5246
E06000019,0.6499
E06000020,0.6901
E06000021,0.5385
E06000022,0.8337
E06000023,0.625
E06000024,0.7421
E06000025,0.3564
E06000026,0.5266
E06000027,0.4657
E06000030,0.9577
E06000031,0.8363
E06000032,0.5892
E06000033,0.149
E06000034,0.7561
E06000035,0.8252
E06000036,0.4935
E06000037,0.5096
E06000038,0.8807
E06000039,0.17
E06000040,0.1417
E06000041,0.4366
E06000042,0.1756
E06000043,0.3549
E06000044,0.2459
E06000045,0.9017
E06000046,0
E06000047,0.5203
E06000049,0.3675
E06000050,0.5773
E06000051,0.2823
"E06000052,E06000053",0.5588
E06000054,0.7241
E06000055,0.8451
E06000056,0.4707
E06000057,0.7675
E06000058,0.1942
E06000059,0.6361
E07000004,0.4218
E07000005,0.5477
E07000006,0.8216
E07000007,0.247
E07000008,0.8507
E07000009,0
E07000010,0.0602
E07000011,0.4483
E07000012,0.9921
E07000026,0.7667
E07000027,0.3844
E07000028,0.8895
E07000029,0.5683
E07000030,0.9949
E07000031,0.5286
E07000032,0.4325
E07000033,0.1542
E07000034,0.0675
E07000035,0.167
E07000036,0.311
E07000037,0.9854
E07000038,0.8597
E07000039,0.3356
E07000040,0.3026
E07000041,0.4204
E07000042,0.4433
E07000043,0.6686
E07000044,0.1747
E07000045,0.1162
E07000046,0
E07000047,0
E07000061,0.9047
E07000062,0.7839
E07000063,0.814
E07000064,0.2543
E07000065,0.3752
E07000066,0.3756
E07000067,0.0794
E07000068,0.393
E07000069,0.6864
E07000070,0.6135
E07000071,0.8515
E07000072,0.3484
E07000073,0.5903
E07000074,0.483
E07000075,0.4257
E07000076,0.9903
E07000077,0.8402
