analysis_timestamp,lad19cd,ex_prob
2020-07-03T14:54:18Z,E06000001,0.416
2020-07-03T14:54:18Z,E06000002,0.47
2020-07-03T14:54:18Z,E06000003,0.486
2020-07-03T14:54:18Z,E06000004,0.29
2020-07-03T14:54:18Z,E06000005,0.376
2020-07-03T14:54:18Z,E06000006,0.525
2020-07-03T14:54:18Z,E06000007,0.485
2020-07-03T14:54:18Z,E06000008,0.26
2020-07-03T14:54:18Z,E06000009,0.411
2020-07-03T14:54:18Z,E06000010,0.404
2020-07-03T14:54:18Z,E06000011,0.445
2020-07-03T14:54:18Z,E06000012,0.141
2020-07-03T14:54:18Z,E06000013,0.339
2020-07-03T14:54:18Z,E06000014,0.397
2020-07-03T14:54:18Z,E06000015,0.339
2020-07-03T14:54:18Z,E06000016,0.142
2020-07-03T14:54:18Z,E06000017,0.118
2020-07-03T14:54:18Z,E06000018,0.302
2020-07-03T14:54:18Z,E06000019,0.514
2020-07-03T14:54:18Z,E06000020,0.267
2020-07-03T14:54:18Z,E06000021,0.342
2020-07-03T14:54:18Z,E06000022,0.213
2020-07-03T14:54:18Z,E06000023,0.334
2020-07-03T14:54:18Z,E06000024,0.545
2020-07-03T14:54:18Z,E06000025,0.357
2020-07-03T14:54:18Z,E06000026,0.323
2020-07-03T14:54:18Z,E06000027,0.255
2020-07-03T14:54:18Z,E06000030,0.266
2020-07-03T14:54:18Z,E06000031,0.352
2020-07-03T14:54:18Z,E06000032,0.331
2020-07-03T14:54:18Z,E06000033,0.33
2020-07-03T14:54:18Z,E06000034,0.389
2020-07-03T14:54:18Z,E06000035,0.156
2020-07-03T14:54:18Z,E06000036,0.324
2020-07-03T14:54:18Z,E06000037,0.35
2020-07-03T14:54:18Z,E06000038,0.489
2020-07-03T14:54:18Z,E06000039,0.303
2020-07-03T14:54:18Z,E06000040,0.196
2020-07-03T14:54:18Z,E06000041,0.395
2020-07-03T14:54:18Z,E06000042,0.259
2020-07-03T14:54:18Z,E06000043,0.263
2020-07-03T14:54:18Z,E06000044,0.239
2020-07-03T14:54:18Z,E06000045,0.43
2020-07-03T14:54:18Z,E06000046,0.405
2020-07-03T14:54:18Z,E06000047,0.406
2020-07-03T14:54:18Z,E06000049,0.6
2020-07-03T14:54:18Z,E06000050,0.568
2020-07-03T14:54:18Z,E06000051,0.282
2020-07-03T14:54:18Z,"E06000052,E06000053",0.102
2020-07-03T14:54:18Z,E06000054,0.374
2020-07-03T14:54:18Z,E06000055,0.474
2020-07-03T14:54:18Z,E06000056,0.414
2020-07-03T14:54:18Z,E06000057,0.533
2020-07-03T14:54:18Z,E06000058,0.265
2020-07-03T14:54:18Z,E06000059,0.143
2020-07-03T14:54:18Z,E07000004,0.43
2020-07-03T14:54:18Z,E07000005,0.289
2020-07-03T14:54:18Z,E07000006,0.194
2020-07-03T14:54:18Z,E07000007,0.252
2020-07-03T14:54:18Z,E07000008,0.295
