analysis_timestamp,lad19cd,ex_prob
2020-07-10T15:09:30Z,E06000001,0.511
2020-07-10T15:09:30Z,E06000002,0.488
2020-07-10T15:09:30Z,E06000003,0.493
2020-07-10T15:09:30Z,E06000004,0.431
2020-07-10T15:09:30Z,E06000005,0.475
2020-07-10T15:09:30Z,E06000006,0.305
2020-07-10T15:09:30Z,E06000007,0.352
2020-07-10T15:09:30Z,E06000008,0.339
2020-07-10T15:09:30Z,E06000009,0.541
2020-07-10T15:09:30Z,E06000010,0.496
2020-07-10T15:09:30Z,E06000011,0.44
2020-07-10T15:09:30Z,E06000012,0.134
2020-07-10T15:09:30Z,E06000013,0.308
2020-07-10T15:09:30Z,E06000014,0.28
2020-07-10T15:09:30Z,E06000015,0.337
2020-07-10T15:09:30Z,E06000016,0.124
2020-07-10T15:09:30Z,E06000017,0.147
2020-07-10T15:09:30Z,E06000018,0.21
2020-07-10T15:09:30Z,E06000019,0.422
2020-07-10T15:09:30Z,E06000020,0.229
2020-07-10T15:09:30Z,E06000021,0.383
2020-07-10T15:09:30Z,E06000022,0.165
2020-07-10T15:09:30Z,E06000023,0.259
2020-07-10T15:09:30Z,E06000024,0.472
2020-07-10T15:09:30Z,E06000025,0.28
2020-07-10T15:09:30Z,E06000026,0.225
2020-07-10T15:09:30Z,E06000027,0.238
2020-07-10T15:09:30Z,E06000030,0.341
2020-07-10T15:09:30Z,E06000031,0.454
2020-07-10T15:09:30Z,E06000032,0.293
2020-07-10T15:09:30Z,E06000033,0.263
2020-07-10T15:09:30Z,E06000034,0.239
2020-07-10T15:09:30Z,E06000035,0.302
2020-07-10T15:09:30Z,E06000036,0.241
2020-07-10T15:09:30Z,E06000037,0.259
2020-07-10T15:09:30Z,E06000038,0.407
2020-07-10T15:09:30Z,E06000039,0.249
2020-07-10T15:09:30Z,E06000040,0.103
2020-07-10T15:09:30Z,E06000041,0.299
2020-07-10T15:09:30Z,E06000042,0.234
2020-07-10T15:09:30Z,E06000043,0.274
2020-07-10T15:09:30Z,E06000044,0.155
2020-07-10T15:09:30Z,E06000045,0.289
2020-07-10T15:09:30Z,E06000046,0.435
2020-07-10T15:09:30Z,E06000047,0.494
2020-07-10T15:09:30Z,E06000049,0.398
2020-07-10T15:09:30Z,E06000050,0.224
2020-07-10T15:09:30Z,E06000051,0.242
2020-07-10T15:09:30Z,"E06000052,E06000053",0.085
2020-07-10T15:09:30Z,E06000054,0.301
2020-07-10T15:09:30Z,E06000055,0.313
2020-07-10T15:09:30Z,E06000056,0.328
2020-07-10T15:09:30Z,E06000057,0.29
2020-07-10T15:09:30Z,E06000058,0.196
2020-07-10T15:09:30Z,E06000059,0.104
2020-07-10T15:09:30Z,E07000004,0.218
2020-07-10T15:09:30Z,E07000005,0.177
2020-07-10T15:09:30Z,E07000006,0.065
2020-07-10T15:09:30Z,E07000007,0.103
2020-07-10T15:09:30Z,E07000008,0.217
2020-07-10T15:09:30Z,E07000009,0.202
2020-07-10T15:09:30Z,E07000010,0.407
2020-07-10T15:09:30Z,E07000011,0.423
2020-07-10T15:09:30Z,E07000012,0.176
2020-07-10T15:09:30Z,E07000026,0.3
2020-07-10T15:09:30Z,E07000027,0.432
2020-07-10T15:09:30Z,E07000028,0.313
2020-07-10T15:09:30Z,E07000029,0.351
2020-07-10T15:09:30Z,E07000030,0.273
2020-07-10T15:09:30Z,E07000031,0.352
2020-07-10T15:09:30Z,E07000032,0.265
2020-07-10T15:09:30Z,E07000033,0.159
2020-07-10T15:09:30Z,E07000034,0.197
2020-07-10T15:09:30Z,E07000035,0.162
2020-07-10T15:09:30Z,E07000036,0.231
2020-07-10T15:09:30Z,E07000037,0.28
2020-07-10T15:09:30Z,E07000038,0.236
2020-07-10T15:09:30Z,E07000039,0.253
2020-07-10T15:09:30Z,E07000040,0.179
2020-07-10T15:09:30Z,E07000041,0.242
2020-07-10T15:09:30Z,E07000042,0.365
2020-07-10T15:09:30Z,E07000043,0.25
2020-07-10T15:09:30Z,E07000044,0.234
2020-07-10T15:09:30Z,E07000045,0.205
2020-07-10T15:09:30Z,E07000046,0.246
2020-07-10T15:09:30Z,E07000047,0.194
2020-07-10T15:09:30Z,E07000061,0.188
2020-07-10T15:09:30Z,E07000062,0.137
2020-07-10T15:09:30Z,E07000063,0.282
2020-07-10T15:09:30Z,E07000064,0.128
2020-07-10T15:09:30Z,E07000065,0.168
2020-07-10T15:09:30Z,E07000066,0.277
2020-07-10T15:09:30Z,E07000067,0.315
2020-07-10T15:09:30Z,E07000068,0.156
2020-07-10T15:09:30Z,E07000069,0.313
2020-07-10T15:09:30Z,E07000070,0.354
2020-07-10T15:09:30Z,E07000071,0.399
2020-07-10T15:09:30Z,E07000072,0.23
2020-07-10T15:09:30Z,E07000073,0.296
2020-07-10T15:09:30Z,E07000074,0.24
2020-07-10T15:09:30Z,E07000075,0.281
2020-07-10T15:09:30Z,E07000076,0.438
2020-07-10T15:09:30Z,E07000077,0.28
2020-07-10T15:09:30Z,E07000078,0.307
2020-07-10T15:09:30Z,E07000079,0.157
2020-07-10T15:09:30Z,E07000080,0.25
2020-07-10T15:09:30Z,E07000081,0.348
2020-07-10T15:09:30Z,E07000082,0.206
2020-07-10T15:09:30Z,E07000083,0.259
2020-07-10T15:09:30Z,E07000084,0.425
2020-07-10T15:09:30Z,E07000085,0.299
2020-07-10T15:09:30Z,E07000086,0.258
2020-07-10T15:09:30Z,E07000087,0.199
2020-07-10T15:09:30Z,E07000088,0.297
2020-07-10T15:09:30Z,E07000089,0.257
2020-07-10T15:09:30Z,E07000090,0.243
2020-07-10T15:09:30Z,E07000091,0.227
2020-07-10T15:09:30Z,E07000092,0.407
2020-07-10T15:09:30Z,E07000093,0.308
2020-07-10T15:09:30Z,E07000094,0.208
2020-07-10T15:09:30Z,E07000095,0.166
2020-07-10T15:09:30Z,E07000096,0.17
2020-07-10T15:09:30Z,E07000098,0.215
2020-07-10T15:09:30Z,E07000099,0.207
2020-07-10T15:09:30Z,E07000102,0.198
