lad19cd,ex_prob
E06000001,0.4975
E06000002,0.7983
E06000003,0.2879
E06000004,0.0442
E06000005,0.0594
E06000006,0.0748
E06000007,0.04
E06000008,0.9488
E06000009,0.1509
E06000010,0.035
E06000011,0.4245
E06000012,0.1346
E06000013,0.5628
E06000014,0.6511
E06000015,0.3462
E06000016,0.7646
E06000017,0.7826
E06000018,0.6612
E06000019,0.3642
E06000020,0.706
E06000021,0.5441
E06000022,0.9016
E06000023,0.5089
E06000024,0.0702
E06000025,0.8122
E06000026,0.5245
E06000027,0.8636
E06000030,0.8561
E06000031,0.7808
E06000032,0.8186
E06000033,0.3579
E06000034,0.2312
E06000035,0.2197
E06000036,0.2276
E06000037,0.3006
E06000038,0.7989
E06000039,0.8118
E06000040,0.9717
E06000041,0.4441
E06000042,0.5424
E06000043,0.3457
E06000044,0.3914
E06000045,0.1523
E06000046,0.0884
E06000047,0.2193
E06000049,0.2034
E06000050,0.375
E06000051,0.4196
"E06000052,E06000053",0.0592
E06000054,0.0323
E06000055,0.8218
E06000056,0.2836
E06000057,0.9038
E06000058,0.1117
E06000059,0.0907
E07000004,0.2781
E07000005,0.7501
E07000006,0.9769
E07000007,0.257
E07000008,0.1122
E07000009,0.5604
E07000010,0.1596
E07000011,0.1259
E07000012,0.13
E07000026,0.0548
E07000027,0.2664
E07000028,0.643
E07000029,0.5917
E07000030,0.1172
E07000031,0.1643
E07000032,0.4624
E07000033,0.1886
E07000034,0.0981
E07000035,0.5195
E07000036,0.5846
E07000037,0.7069
E07000038,0.1457
E07000039,0.0243
E07000040,0.9146
E07000041,0.7531
E07000042,0.9651
E07000043,0.6257
E07000044,0.1733
E07000045,0.3395
E07000046,0.1358
E07000047,0
E07000061,0.4285
E07000062,0.7404
E07000063,0.0122
E07000064,0.2463
E07000065,0.0122
E07000066,0.271
E07000067,0.3094
E07000068,0.6958
E07000069,0.1358
E07000070,0.6011
E07000071,0.0186
E07000072,0.3196
E07000073,0.7023
