lad19cd,ex_prob
E06000001,0.7416
E06000002,0.8556
E06000003,0.5668
E06000004,0.2871
E06000005,0.6205
E06000006,0.1261
E06000007,0.5948
E06000008,0.9979
E06000009,0.2055
E06000010,0.6969
E06000011,0.0662
E06000012,0.5413
E06000013,0.7222
E06000014,0.2234
E06000015,0.7554
E06000016,0.6976
E06000017,0.7461
E06000018,0.8752
E06000019,0.1791
E06000020,0.9728
E06000021,0.0432
E06000022,0.3778
E06000023,0.2843
E06000024,0.4162
E06000025,0.7159
E06000026,0.5285
E06000027,0.7945
E06000030,0.9454
E06000031,0.6486
E06000032,0.9621
E06000033,0.9451
E06000034,0.7858
E06000035,0.1575
E06000036,0.3321
E06000037,0.751
E06000038,0.7559
E06000039,0.3808
E06000040,0.6339
E06000041,0.2645
E06000042,0.3318
E06000043,0.2558
E06000044,0.2326
E06000045,9e-4
E06000046,0
E06000047,0.0666
E06000049,0.8154
E06000050,0.2189
E06000051,0.0371
"E06000052,E06000053",0.0704
E06000054,0.1986
E06000055,0.9942
E06000056,0.8235
E06000057,0.5723
E06000058,0.5708
E06000059,0.0963
E07000004,0.6558
E07000005,0.2478
E07000006,0.4059
E07000007,0.4259
E07000008,0.1926
E07000009,0.7147
E07000010,0.8264
E07000011,0.9171
E07000012,0.6514
E07000026,0.9603
E07000027,0
E07000028,0.9931
E07000029,0.4687
E07000030,0.995
E07000031,0.6512
E07000032,0.1891
E07000033,0.5947
E07000034,0.2095
E07000035,0.2854
E07000036,0.3268
E07000037,0.8003
E07000038,0.4719
E07000039,0.8134
E07000040,0.9684
E07000041,0.6363
E07000042,0.2633
E07000043,0
E07000044,0.4251
E07000045,0.8705
E07000046,0
E07000047,0
E07000061,0.7751
E07000062,0.565
E07000063,0.144
E07000064,0.0768
E07000065,0.6213
E07000066,0.5726
E07000067,0.5372
E07000068,0.4452
E07000069,0.5841
E07000070,0.637
E07000071,0.5321
E07000072,0.7148
E07000073,0.5503
E07000074,0.6721
E07000075,0.5489
E07000076,0.9576
E07000077,0.8923
E07000078,0.4696
E07000079,0
E07000080,0.3713
E07000081,0.5623
E07000082,0.225
E07000083,0.205
E07000084,0.43
E07000085,0.613
E07000086,0.5586
E07000087,0.268
E07000088,0.2587
E07000089,0
E07000090,0.3883
E07000091,0.3722
E07000092,0.2219
E07000093,0.1846
E07000094,0.0773
E07000095,0.1089
E07000096,0.3329
E07000098,0.6332
E07000099,0.56
E07000102,0.1743
E07000103,0.8914
E07000105,0.9892
E07000106,0.5503
E07000107,0.7647
E07000108,0.7439
E07000109,0.8683
E07000110,0.9542
E07000111,0.6023
E07000112,0.3884
E07000113,0.6012
E07000114,0.8785
E07000115,0.1739
E07000116,0.0203
E07000117,0.3435
E07000118,0.5806
E07000119,0.7474
E07000120,0.9864
E07000121,0.5479
E07000122,0.5271
E07000123,0.6514
E07000124,0
E07000125,0.5461
E07000126,0.2531
E07000127,0.5686
E07000128,0.6626
E07000129,0.3325
E07000130,0.248
E07000131,0.1785
E07000132,0.6027
E07000133,0.2746
E07000134,0.0299
E07000135,0.9882
E07000136,0.4858
E07000137,0.8148
E07000138,0.6226
E07000139,0.5126
E07000140,0.5013
E07000141,0.1457
E07000142,0.8226
E07000143,0.3493
E07000144,0.2512
E07000145,0
E07000146,0
E07000147,0.2455
E07000148,0.2146
E07000149,0.4768
E07000150,0.6991
E07000151,0.5022
E07000152,0.5416
E07000153,0.7625
E07000154,0.9725
E07000155,0.2613
E07000156,0.4669
E07000163,0.3007
E07000164,0.2327
E07000165,0.2349
E07000166,0.2533
E07000167,0
E07000168,0
E07000169,0.1927
E07000170,0.1057
E07000171,0.6804
E07000172,0.4717
E07000173,0.7587
E07000174,0.9329
E07000175,0.9357
E07000176,0.0944
E07000177,0.9128
E07000178,0.3672
E07000179,0.1954
E07000180,0.2506
E07000181,0.4055
E07000187,0.6342
E07000188,0
E07000189,0.1988
E07000192,0.0564
E07000193,0.4328
E07000194,0.6263
E07000195,0.2621
E07000196,0.0715
E07000197,0.724
E07000198,0.267
E07000199,0.6544
E07000200,0.6745
E07000202,0.2694
E07000203,0
E07000207,0.0741
E07000208,0.6148
E07000209,0.1308
E07000210,0
E07000211,0.7025
E07000212,0.0885
E07000213,0.6637
E07000214,0.4555
E07000215,0.1987
E07000216,0.73
E07000217,0.2979
E07000218,0.8731
E07000219,0.3487
E07000220,0.0848
E07000221,0.028
E07000222,0.2964
E07000223,0
E07000224,0.5138
E07000225,0.8313
E07000226,0.4194
E07000227,0.221
E07000228,0.825
E07000229,0.8193
E07000234,0.5349
E07000235,0
E07000236,0.6035
E07000237,0.1345
E07000238,0.0979
E07000239,0.6407
E07000240,0.471
E07000241,0.0404
E07000242,0.4959
E07000243,0.3406
E07000244,0.3887
E07000245,0.7948
E07000246,0.2359
E08000001,0.8286
E08000002,0.9698
E08000003,0.6521
E08000004,0.5351
E08000005,0.9797
E08000006,0.3654
E08000007,0.7424
E08000008,0.4669
E08000009,0.7332
E08000010,0.6871
E08000011,0.5456
E08000012,0.5637
E08000013,0.3764
E08000014,0.5403
E08000015,0.1372
E08000016,0.8956
E08000017,0.9277
E08000018,0.9777
E08000019,0.4705
E08000021,0.5672
E08000022,0.2506
E08000023,0.0576
E08000024,0.4083
E08000025,0.9781
E08000026,0.8477
E08000027,0.4244
E08000028,0.9876
E08000029,0.843
E08000030,0.9561
E08000031,0.817
E08000032,0.9493
E08000033,0.8527
E08000034,0.7976
E08000035,0.3358
E08000036,0.9239
E08000037,0.8511
"E09000001,E09000033",0.0733
E09000002,0.8003
E09000003,0.9378
E09000004,0.6346
E09000005,0.4098
E09000006,0.2059
E09000007,0.5127
E09000008,0.2457
E09000009,0.4833
E09000010,0.9259
E09000011,0.5849
E09000012,0.9877
E09000013,0.1171
E09000014,0.4806
E09000015,0.3468
E09000016,0.8286
E09000017,0.8411
E09000018,0.6565
E09000019,0.7127
E09000020,0.4056
E09000021,0.5412
E09000022,0.5514
E09000023,0.6354
E09000024,0.8344
E09000025,0.8705
E09000026,0.5711
E09000027,0.386
E09000028,0.418
E09000029,0.2528
E09000030,0.2109
E09000031,0.908
E09000032,0.7952
