lad19cd,ex_prob
E06000001,0.772
E06000002,0.9541
E06000003,0.5633
E06000004,0.7242
E06000005,0.7222
E06000006,0.9584
E06000007,0.7232
E06000008,0.9518
E06000009,0.6896
E06000010,0.084
E06000011,0.0186
E06000012,0.3007
E06000013,0.1209
E06000014,0.1833
E06000015,0.7834
E06000016,0.8846
E06000017,0
E06000018,0.2006
E06000019,0.9498
E06000020,0.2611
E06000021,0.9042
E06000022,0.7304
E06000023,0.0336
E06000024,0.502
E06000025,0.1391
E06000026,0.0312
E06000027,0.1939
E06000030,0.9878
E06000031,0.1965
E06000032,0.7324
E06000033,0.0998
E06000034,0.12
E06000035,0.1466
E06000036,0.1566
E06000037,0.3668
E06000038,0.202
E06000039,0.9355
E06000040,0.745
E06000041,0.2199
E06000042,0.4306
E06000043,0.0617
E06000044,0.5118
E06000045,0.42
E06000046,0
E06000047,0.0953
E06000049,0.7726
E06000050,0.4918
E06000051,0.0593
"E06000052,E06000053",0.1864
E06000054,0.6655
E06000055,0.6306
E06000056,0.7907
E06000057,0.1419
E06000058,0.1681
E06000059,0.1537
E07000004,0.5163
E07000005,0.3524
E07000006,0.6657
E07000007,0.7635
E07000008,0.7515
E07000009,0.2046
E07000010,0.4116
E07000011,0.9023
E07000012,0.4307
E07000026,0.6501
E07000027,0.0889
E07000028,0.8401
E07000029,0.5954
E07000030,0.6706
E07000031,0.4093
E07000032,0.213
E07000033,0.4028
E07000034,0.1955
E07000035,0.7963
E07000036,0.6026
E07000037,0.5742
E07000038,0.4551
E07000039,0.875
E07000040,0.6412
E07000041,0.1361
E07000042,0.2354
E07000043,0
E07000044,0.1149
E07000045,0
E07000046,0.3475
E07000047,0.5483
E07000061,0.1494
E07000062,0.2684
E07000063,0.3098
E07000064,0.1622
E07000065,0.0662
E07000066,0.4817
E07000067,0.2136
E07000068,0.3825
E07000069,0.6961
E07000070,0.5549
E07000071,0.09
E07000072,0.5687
E07000073,0.5811
E07000074,0.5324
E07000075,0.1215
E07000076,0.7971
E07000077,0.1743
E07000078,0.0285
E07000079,0.1173
E07000080,0
E07000081,0.4465
E07000082,0.4121
E07000083,0.2218
E07000084,0.0447
E07000085,0.0834
E07000086,0.1391
E07000087,0
E07000088,0.4866
E07000089,0.5298
E07000090,0.1118
E07000091,0.1014
E07000092,0.4996
E07000093,0.064
E07000094,0.2626
E07000095,0.3027
E07000096,0.2027
E07000098,0.7836
E07000099,0.1601
E07000102,0.3647
E07000103,0.3162
E07000105,0.0471
E07000106,0.0864
E07000107,0.3886
E07000108,0.8094
E07000109,0.7091
E07000110,0.3737
E07000111,0.1617
E07000112,0.9009
E07000113,0.6096
E07000114,0.1161
E07000115,0.282
E07000116,0.5297
E07000117,0.9932
E07000118,0.8615
E07000119,0.8039
E07000120,0.9645
E07000121,0.4604
E07000122,0.9997
E07000123,0.9948
E07000124,0.5411
E07000125,0.4896
E07000126,0.9768
E07000127,0.8122
E07000128,0.7158
E07000129,0.3244
E07000130,0.8401
E07000131,0.1351
