lad19cd,ex_prob
E06000001,0.9539
E06000002,0.6094
E06000003,0.6496
E06000004,0.7394
E06000005,0.4378
E06000006,0.9735
E06000007,0.9885
E06000008,0.9962
E06000009,0.932
E06000010,0.3396
E06000011,0.6143
E06000012,0.1467
E06000013,0.9465
E06000014,0.9085
E06000015,0.619
E06000016,0.9219
E06000017,0.4126
E06000018,0.7003
E06000019,0.7878
E06000020,0.247
E06000021,0.752
E06000022,0.1458
E06000023,0.1316
E06000024,0.0753
E06000025,0.1485
E06000026,0.5673
E06000027,5e-4
E06000030,0.2217
E06000031,0.7592
E06000032,0.7457
E06000033,0.5288
E06000034,0.3107
E06000035,0.0705
E06000036,0.7787
E06000037,0.0354
E06000038,0.2226
E06000039,0.7146
E06000040,0.9816
E06000041,0.2301
E06000042,0.1853
E06000043,0.7197
E06000044,0.4924
E06000045,0.1511
E06000046,0.0782
E06000047,0.5104
E06000049,0.4997
E06000050,0.6876
E06000051,0.4386
"E06000052,E06000053",0.0956
E06000054,0.0155
E06000055,0.8756
E06000056,0.1969
E06000057,0.7067
E06000058,0.4935
E06000059,0.0268
E07000004,0.0934
E07000005,0.5615
E07000006,0.7412
E07000007,0.2697
E07000008,0.5243
E07000009,0.0522
E07000010,0.5011
E07000011,0.5989
E07000012,0.4156
E07000026,0.6455
E07000027,0.9834
E07000028,0.1175
E07000029,0.4576
E07000030,0.2292
E07000031,0.5233
E07000032,0.9436
E07000033,0.9512
E07000034,0.8278
E07000035,0.1201
E07000036,0.7171
E07000037,0.9857
E07000038,0.8682
E07000039,0.4785
E07000040,0.0227
E07000041,0.0909
E07000042,0.0872
E07000043,0.0207
E07000044,0.0019
E07000045,0.0709
E07000046,0.1451
E07000047,0.0606
E07000061,0.0367
E07000062,0.2903
E07000063,0.3951
E07000064,0.0299
E07000065,0.2345
E07000066,0.4359
E07000067,0.0062
E07000068,0.4923
E07000069,0.9605
E07000070,0.1112
E07000071,0.2612
E07000072,0.3486
E07000073,0.2061
E07000074,0.0541
E07000075,0.6117
E07000076,0.0143
E07000077,0.0967
E07000078,0.4189
E07000079,0.1657
E07000080,0.5578
E07000081,0.1975
E07000082,0.2591
E07000083,0.2074
E07000084,0.046
E07000085,0.3492
E07000086,0.0049
E07000087,0.381
E07000088,0.13
E07000089,0.1733
E07000090,0.4247
E07000091,0.0624
E07000092,0.6902
E07000093,0.084
E07000094,0.191
E07000095,0.6529
E07000096,0.1181
E07000098,0.6755
E07000099,0.5059
E07000102,0.4555
E07000103,0.5846
E07000105,0.0812
E07000106,0.0624
E07000107,0.7523
E07000108,0.4446
E07000109,0.5304
E07000110,0.1631
E07000111,0.2217
E07000112,0.0703
E07000113,0.7483
E07000114,0.2167
E07000115,0.4474
E07000116,0.3226
E07000117,0.9979
E07000118,0.966
E07000119,0.9466
E07000120,0.9944
E07000121,0.8493
E07000122,0.9582
E07000123,0.9907
E07000124,0.123
E07000125,0.9997
E07000126,0.9427
E07000127,0.464
E07000128,0.9965
E07000129,0.8175
E07000130,0.894
E07000131,0.5944
E07000132,0.9048
E07000133,0.3498
E07000134,0.0345
E07000135,0.999
E07000136,0.2747
E07000137,0.3037
E07000138,0.3681
E07000139,0.681
E07000140,0.5921
E07000141,0.7385
E07000142,0.7198
E07000143,0.6368
E07000144,0.1732
E07000145,0.7352
E07000146,0.085
E07000147,0.0033
E07000148,0.2693
E07000149,0.1469
E07000150,0.7572
E07000151,0.2958
E07000152,0.5117
E07000153,0.8278
E07000154,0.8839
E07000155,0.2838
E07000156,0.7914
E07000163,0.5494
E07000164,0.898
E07000165,0.6341
E07000166,0.6337
E07000167,0.2045
E07000168,0.8955
E07000169,0.7685
E07000170,0.7976
E07000171,0.2541
E07000172,0.8018
E07000173,0.6161
E07000174,0.9082
E07000175,0.7404
E07000176,0.8274
E07000177,0.49370000000000003
E07000178,0.6187
E07000179,0.0451
E07000180,0.1492
E07000181,0.30620000000000003
E07000187,0.296
E07000188,0.5162
E07000189,0.0106
E07000192,0.9623
E07000193,0.2976
E07000194,0.5221
E07000195,0.7026
E07000196,0.7853
E07000197,0.5381
E07000198,0.4035
E07000199,0.5719
E07000200,6e-4
E07000202,0.1374
E07000203,0.1553
E07000207,0.426
E07000208,0.4848
E07000209,0.2786
E07000210,0.2696
E07000211,0.6772
E07000212,0.4852
E07000213,0.9611
E07000214,0.1732
E07000215,0.9302
E07000216,0.3423
E07000217,0.2205
E07000218,0.0085
E07000219,0.6974
E07000220,0.9039
E07000221,0.2592
E07000222,0.1823
E07000223,0.5822
E07000224,0.0842
E07000225,0.1774
E07000226,0.2139
E07000227,0.7774
E07000228,0.3089
E07000229,0.307
E07000234,0.651
E07000235,0.8641
E07000236,0.1812
E07000237,0.5319
E07000238,0.444
E07000239,0.7952
E07000240,0.9568
E07000241,0.8302
E07000242,0.1338
E07000243,0.9323
E07000244,0.1692
E07000245,0.4013
E07000246,0.104
E08000001,0.981
E08000002,0.947
E08000003,0.5307
E08000004,0.9956
E08000005,0.9543
E08000006,0.9224
E08000007,0.7204
E08000008,0.9845
E08000009,0.4905
E08000010,0.7549
E08000011,0.9866
E08000012,0.8716
E08000013,0.9981
E08000014,0.876
E08000015,0.9588
E08000016,0.6658
E08000017,0.6294
E08000018,0.6925
E08000019,0.6847
E08000021,0.6962
E08000022,0.7931
E08000023,0.9709
E08000024,0.6784
E08000025,0.3433
E08000026,0.7542
E08000027,0.555
E08000028,0.829
E08000029,0.6105
E08000030,0.8182
E08000031,0.9629
E08000032,0.8556
E08000033,0.9276
E08000034,0.9105
E08000035,0.5657
E08000036,0.5188
E08000037,0.92490000000000006
"E09000001,E09000033",1e-4
E09000002,0.8419
E09000003,0.4253
E09000004,0.4813
E09000005,0.603
E09000006,0.2245
E09000007,0.3474
E09000008,0.2793
E09000009,0.6628
E09000010,0.6653
E09000011,0.7982
E09000012,0.6614
E09000013,0.4308
E09000014,0.5949
