lad19cd,ex_prob
E06000001,0.8672
E06000002,0.9201
E06000003,0.967
E06000004,0.8534
E06000005,0.7976
E06000006,0.5759
E06000007,0.9026
E06000008,0.959
E06000009,0.424
E06000010,0.0698
E06000011,0.0799
E06000012,0.1264
E06000013,0.4589
E06000014,0.4278
E06000015,0.283
E06000016,0.642
E06000017,0.842
E06000018,0.2925
E06000019,0.0844
E06000020,0.0732
E06000021,0.5267
E06000022,0.2015
E06000023,0.2812
E06000024,0.8804
E06000025,0.2391
E06000026,0.528
E06000027,0.0266
E06000030,0.5457
E06000031,0.7092
E06000032,0.3788
E06000033,0.8423
E06000034,0.2614
E06000035,0.0493
E06000036,0.3459
E06000037,0.2222
E06000038,0.7771
E06000039,0.5422
E06000040,0.3321
E06000041,0.5357
E06000042,0.0988
E06000043,0.3631
E06000044,0.4988
E06000045,0.337
E06000046,0.0823
E06000047,0.5318
E06000049,0.5091
E06000050,0.2883
E06000051,0.3412
"E06000052,E06000053",0.0048
E06000054,0.0461
E06000055,0.8684
E06000056,0.2315
E06000057,0.219
E06000058,0.4254
E06000059,0.0125
E07000004,0.1272
E07000005,0.8684
E07000006,0.5787
E07000007,0.9895
E07000008,0.8354
E07000009,0.2131
E07000010,0.03
E07000011,0.1947
E07000012,0.4353
E07000026,0.4431
E07000027,0
E07000028,0.3235
E07000029,0.2617
E07000030,0.3571
E07000031,0.0747
E07000032,0.0107
E07000033,0.799
E07000034,0.0152
E07000035,0.7972
E07000036,0.1776
E07000037,0.8147
E07000038,0.4588
E07000039,0.6737
E07000040,0.4901
E07000041,0.2415
E07000042,0.2569
E07000043,0.3101
E07000044,0.6544
E07000045,0.0651
E07000046,0
E07000047,0
E07000061,0.4677
E07000062,0.7509
E07000063,0.3803
E07000064,0.0104
E07000065,0.4568
E07000066,0.5199
E07000067,0.1554
E07000068,0.837
E07000069,0.9487
E07000070,0.5831
E07000071,0.2977
E07000072,0.936
E07000073,0.2707
E07000074,0.128
E07000075,0.0428
E07000076,0.0678
E07000077,0.5964
E07000078,0.8834
E07000079,0.2391
E07000080,0.3051
E07000081,0.5898
E07000082,0.1511
E07000083,0.7047
E07000084,0.2248
E07000085,0.7885
E07000086,0.1061
E07000087,0.3018
E07000088,0
E07000089,0.3552
E07000090,0.0406
E07000091,0.1175
E07000092,0.1236
E07000093,0.8033
E07000094,0.9268
E07000095,0.8103
