lad19cd,ex_prob
E06000001,0.7572
E06000002,0.2504
E06000003,0.8343
E06000004,0.534
E06000005,0.0575
E06000006,0.5567
E06000007,0.1477
E06000008,0.8896
E06000009,0.3678
E06000010,0.5675
E06000011,0.4269
E06000012,0.4077
E06000013,0.3884
E06000014,0.5188
E06000015,0.6867
E06000016,0.683
E06000017,0
E06000018,0.9298
E06000019,0.3195
E06000020,0.2624
E06000021,0.184
E06000022,0.3414
E06000023,0.4955
E06000024,0.4113
E06000025,0.4043
E06000026,0.3918
E06000027,0.1905
E06000030,0.993
E06000031,0.9859
E06000032,0.9433
E06000033,0.5129
E06000034,0.362
E06000035,0.7585
E06000036,0.1969
E06000037,0.8487
E06000038,0.1199
E06000039,0.9573
E06000040,0.0591
E06000041,0.4103
E06000042,0.5446
E06000043,0.4871
E06000044,0.1686
E06000045,0.0644
E06000046,0.3918
E06000047,0.09
E06000049,0.8551
E06000050,0.8889
E06000051,0.2974
"E06000052,E06000053",0.1359
E06000054,0.5333
E06000055,0.9782
E06000056,0.5662
E06000057,0.0282
E06000058,0.1405
E06000059,0.1981
E07000004,0.4619
E07000005,0.2669
E07000006,0.6544
E07000007,0.944
E07000008,0.3407
E07000009,0.2185
E07000010,0.7241
E07000011,0.0453
E07000012,0.2918
E07000026,0.6651
E07000027,0.431
E07000028,0.9881
E07000029,0.3295
E07000030,0.0754
E07000031,0.779
E07000032,0.0243
E07000033,0.0471
E07000034,0.6318
E07000035,0.5826
E07000036,0.3423
E07000037,0.575
E07000038,0.7007
E07000039,0.5994
E07000040,0.3215
E07000041,0.3587
E07000042,0
E07000043,0.1481
E07000044,0
E07000045,0.1286
E07000046,0.5382
E07000047,0.3102
E07000061,0.8967
E07000062,0.2284
E07000063,0.0985
E07000064,0
E07000065,0.6499
E07000066,0.0751
E07000067,0.4299
E07000068,0.2654
E07000069,0.4259
E07000070,0.2502
E07000071,0.1756
E07000072,0.8509
E07000073,0.7925
E07000074,0.1614
