lad19cd,ex_prob
E06000001,0.9982
E06000002,0.9796
E06000003,0.9603
E06000004,0.9853
E06000005,0.9882
E06000006,0.9555
E06000007,0.6876
E06000008,0.9193
E06000009,0.9967
E06000010,0.97
E06000011,0.9565
E06000012,0.8221
E06000013,0.9013
E06000014,0.9736
E06000015,0.8777
E06000016,0.6944
E06000017,0.9178
E06000018,0.9997
E06000019,0.2
E06000020,0.7871
E06000021,0.7725
E06000022,0.8563
E06000023,0.5377
E06000024,0.3707
E06000025,0.8088
E06000026,0.2937
E06000027,0.9474
E06000030,0.3692
E06000031,0.9296
E06000032,0.8241
E06000033,0.7112
E06000034,0.6486
E06000035,0.4783
E06000036,0.3827
E06000037,0.7802
E06000038,0.5365
E06000039,0.9098
E06000040,0.8627
E06000041,0.7577
E06000042,0.363
E06000043,0.9454
E06000044,0.4582
E06000045,0.5234
E06000046,0.2595
E06000047,0.7977
E06000049,0.8672
E06000050,0.8599
E06000051,0.8005
"E06000052,E06000053",0.3675
E06000054,0.5295
E06000055,0.7184
E06000056,0.4861
E06000057,0.7382
E06000058,0.709
E06000059,0.3427
E07000004,0.4818
E07000005,0.857
E07000006,0.9594
E07000007,0.7197
E07000008,0.842
E07000009,0.455
E07000010,0.9009
E07000011,0.8702
E07000012,0.8646
E07000026,0.9807
E07000027,0.9985
E07000028,0.6212
E07000029,0.5968
E07000030,0.6837
E07000031,0.9357
E07000032,0.8504
E07000033,0.8518
E07000034,0.5931
E07000035,0.5136
E07000036,0.998
E07000037,0.9276
E07000038,0.9588
E07000039,0.9562
E07000040,0.479
E07000041,0.9999
E07000042,0.7203
E07000043,0.4522
E07000044,0.133
E07000045,0.4619
E07000046,0.2296
E07000047,0.3206
E07000061,0.963
E07000062,0.9236
E07000063,0.5179
E07000064,0.4905
E07000065,0.5426
E07000066,0.7195
E07000067,0.632
E07000068,0.7854
E07000069,0.8687
E07000070,0.8828
E07000071,0.5999
E07000072,0.8025
E07000073,0.3907
E07000074,0.7944
E07000075,0.3272
E07000076,0.464
E07000077,0.9862
E07000078,0.3259
E07000079,0.6405
E07000080,0.9359
E07000081,0.4806
E07000082,0.4149
E07000083,0.1935
E07000084,0.5534
E07000085,0.6059
E07000086,0.1439
E07000087,0.1228
E07000088,0.5119
E07000089,0.8569
E07000090,0.3
E07000091,0.4116
E07000092,0.8521
E07000093,0.7544
E07000094,0.6476
E07000095,0.6152
E07000096,0.9878
E07000098,0.9645
E07000099,0.3411
E07000102,0.8344
E07000103,0.6509
E07000105,0.263
E07000106,0.6628
E07000107,0.3761
E07000108,0.1752
E07000109,0.563
E07000110,0.192
E07000111,0.5889
E07000112,0.1082
