lad19cd,ex_prob
E06000001,0.8041
E06000002,0.7899
E06000003,0.1147
E06000004,0.3236
E06000005,0.5906
E06000006,0.7629
E06000007,0.5505
E06000008,0.998
E06000009,0.7469
E06000010,0.5038
E06000011,0.0366
E06000012,0
E06000013,0.3055
E06000014,0.3155
E06000015,0.4341
E06000016,0.7058
E06000017,0.5163
E06000018,0.4051
E06000019,1
E06000020,0.933
E06000021,0.0743
E06000022,0.1453
E06000023,0.2848
E06000024,0.1759
E06000025,0.2722
E06000026,0.039
E06000027,0.667
E06000030,0.5626
E06000031,0.7729
E06000032,1
E06000033,0.7483
E06000034,0.8055
E06000035,0.3591
E06000036,0.2155
E06000037,0.6057
E06000038,0.6132
E06000039,0.786
E06000040,0.8005
E06000041,0.3887
E06000042,0.6159
E06000043,0.9721
E06000044,0.0345
E06000045,0.3135
E06000046,0
E06000047,0.7492
E06000049,0.7082
E06000050,0.8448
E06000051,0.2507
"E06000052,E06000053",0.0202
E06000054,0.4493
E06000055,0.9495
E06000056,0.7992
E06000057,0.1737
E06000058,0.6664
E06000059,0.2675
E07000004,0.1216
E07000005,0.8799
E07000006,0.6152
E07000007,0.6451
E07000008,0.0131
E07000009,0.7327
E07000010,0.9014
E07000011,0.7494
E07000012,0.2327
E07000026,0.7126
E07000027,0
E07000028,0.8843
E07000029,0
E07000030,0.8072
E07000031,0.8946
E07000032,0.4892
E07000033,0.5904
E07000034,0.3459
E07000035,0.2211
E07000036,0.1369
E07000037,0.3942
E07000038,0.6
E07000039,0.5299
E07000040,0.7884
E07000041,0.7139
E07000042,0.6707
E07000043,0
E07000044,0.3626
E07000045,0.9227
E07000046,0.8983
E07000047,0
E07000061,0.9737
E07000062,0.2703
E07000063,0.9909
E07000064,0.3424
E07000065,0.6929
E07000066,0.6403
E07000067,0.8356
E07000068,0.3494
E07000069,0.8382
E07000070,0.6046
E07000071,0.7416
E07000072,0.7023
E07000073,0
E07000074,0.2981
E07000075,0.4455
E07000076,0.9466
E07000077,0.5108
E07000078,0.7113
E07000079,0
E07000080,0.5096
E07000081,0.5319
E07000082,0.7106
E07000083,0
E07000084,0.3864
E07000085,0.8273
E07000086,0.6736
E07000087,0.8266
E07000088,0.2737
E07000089,0.3735
E07000090,0.7744
E07000091,0.655
E07000092,0.6794
E07000093,0.1017
E07000094,0.5202
E07000095,0.6233
E07000096,0.8454
E07000098,0.2144
E07000099,0.0947
E07000102,0.1355
E07000103,0.5298
E07000105,0.9008
E07000106,0.7235
E07000107,0.4183
E07000108,0.9345
E07000109,0.9972
E07000110,0.5736
E07000111,0.776
E07000112,0.842
E07000113,0.6854
E07000114,0.8607
E07000115,0.1452
E07000116,0.8821
E07000117,0.7637
E07000118,0.3331
E07000119,0.6398
E07000120,0.8862
E07000121,0.4606
E07000122,0.5065
E07000123,0.8133
E07000124,0.0273
E07000125,0.8949
E07000126,0.4039
E07000127,0.2242
E07000128,0.7473
E07000129,0.1162
E07000130,0.0157
E07000131,0.0414
E07000132,0.428
E07000133,0.0495
E07000134,0.2421
E07000135,0.7936
E07000136,0.4377
E07000137,0.6656
E07000138,0.3779
E07000139,0.0993
E07000140,0.6938
E07000141,0.2987
E07000142,0.9928
E07000143,0
E07000144,0
E07000145,0.5163
E07000146,0.3829
E07000147,0.7852
E07000148,0.5505
E07000149,0.4419
E07000150,0.9805
E07000151,0.1854
E07000152,0.5383
E07000153,0.8241
E07000154,0.9058
E07000155,0.3375
E07000156,0.4258
E07000163,0.0501
E07000164,0.1636
E07000165,0.2331
E07000166,0.7155
E07000167,0
E07000168,0
E07000169,0.5236
E07000170,0.9184
E07000171,0.8243
E07000172,0.5029
E07000173,0.48
E07000174,0.4315
E07000175,0.9532
E07000176,0.9101
E07000177,0.9623
E07000178,0.6767
E07000179,0.4517
E07000180,0.3999
E07000181,0.5772
E07000187,0.3324
E07000188,0.5769
E07000189,0
E07000192,0.0416
E07000193,0.8152
E07000194,0.6451
E07000195,0.205
E07000196,0.7221
E07000197,0.7218
E07000198,0.336
E07000199,0.0825
E07000200,0.6868
E07000202,0.3991
E07000203,0
E07000207,0.0395
E07000208,0.3039
E07000209,0.7358
E07000210,0.3315
E07000211,0.5682
E07000212,0.0355
E07000213,0.1495
E07000214,0.8389
E07000215,0.3601
E07000216,0.234
E07000217,0.4973
E07000218,0.7863
E07000219,0.1816
E07000220,0.5513
E07000221,0.6132
E07000222,0.0867
E07000223,0.8325
E07000224,0.7488
E07000225,0.6002
E07000226,0.4053
E07000227,0.7444
E07000228,0.6241
E07000229,0.9833
E07000234,0.243
E07000235,0.0974
E07000236,0.3426
E07000237,0.4581
E07000238,0.1106
E07000239,0.4467
E07000240,0.202
E07000241,0.0387
E07000242,0.1742
E07000243,0
E07000244,0.1122
E07000245,0.4958
E07000246,0.7805
E08000001,0.701
E08000002,0.46
E08000003,0.7272
E08000004,0.3758
E08000005,0.921
E08000006,0.1448
E08000007,0.73740000000000006
E08000008,0.2207
E08000009,0.7422
E08000010,0.7108
E08000011,0.62
E08000012,0.2597
E08000013,0.3863
E08000014,0.9949
E08000015,0.1893
E08000016,0.4472
E08000017,0.6377
E08000018,0.9403
E08000019,0.7112
E08000021,0.8002
E08000022,0.64
E08000023,0.3899
E08000024,0.2239
E08000025,0.9602
E08000026,0.5641
E08000027,0.7341
E08000028,0.9658
E08000029,0.7877
E08000030,0.9945
E08000031,0.5791
E08000032,0.8594
E08000033,0.9154
E08000034,0.8489
E08000035,0.7109
E08000036,0.9179
E08000037,0.6727
"E09000001,E09000033",0.1064
E09000002,0.6673
E09000003,0.9747
E09000004,0.4367
E09000005,0.1242
E09000006,0.4961
E09000007,0.2012
E09000008,0.3741
E09000009,0.7944
E09000010,0.6498
E09000011,0.3507
E09000012,0.9904
E09000013,0.264
E09000014,0.5409
E09000015,0.5969
E09000016,0.6813
E09000017,0.4478
E09000018,0.7122
E09000019,0.6307
