lad19cd,ex_prob
E06000001,0.9997
E06000002,0.9983
E06000003,0.9725
E06000004,0.9834
E06000005,0.9643
E06000006,0.9806
E06000007,0.9603
E06000008,0.9667
E06000009,0.8004
E06000010,0.6757
E06000011,0.8601
E06000012,0.9148
E06000013,0.9756
E06000014,0.9081
E06000015,0.7889
E06000016,0.8905
E06000017,0.1193
E06000018,0.8417
E06000019,0.1517
E06000020,0.718
E06000021,0.6102
E06000022,0.5349
E06000023,0.5715
E06000024,0.6631
E06000025,0.1121
E06000026,0.7645
E06000027,0.3895
E06000030,0.5225
E06000031,0.7529
E06000032,0.9753
E06000033,0.8791
E06000034,0.8098
E06000035,0.4574
E06000036,0.841
E06000037,0.6205
E06000038,0.7225
E06000039,0.9875
E06000040,0.771
E06000041,0.7213
E06000042,0.3275
E06000043,0.0305
E06000044,0.8238
E06000045,0.4335
E06000046,0.135
E06000047,0.9428
E06000049,0.71
E06000050,0.7284
E06000051,0.6823
"E06000052,E06000053",0.8829
E06000054,0.0861
E06000055,0.9593
E06000056,0.5919
E06000057,0.9951
E06000058,0.4033
E06000059,0.0427
E07000004,0.3171
E07000005,0.8058
E07000006,0.8684
E07000007,0.8133
E07000008,0.2709
E07000009,0.0135
E07000010,0.2358
E07000011,0.6292
E07000012,0.1165
E07000026,0.7563
E07000027,0.9938
E07000028,0.9556
E07000029,0.8906
E07000030,0.0837
E07000031,0.8443
E07000032,0.9082
E07000033,0.9154
E07000034,0.4486
E07000035,0.6135
E07000036,0.7309
E07000037,0.9393
E07000038,0.6564
E07000039,0.6672
E07000040,0.1149
E07000041,0.9816
E07000042,0.0271
E07000043,0.3533
E07000044,0.3771
E07000045,0.1583
E07000046,0.0218
E07000047,0.0418
E07000061,0.2684
E07000062,0.523
E07000063,0.1939
E07000064,0.1517
E07000065,0.0381
E07000066,0.8489
E07000067,0.2617
E07000068,0.9607
E07000069,0.9464
E07000070,0.134
E07000071,0.3483
E07000072,0.8946
E07000073,0.8621
E07000074,0.0556
E07000075,0.8543
E07000076,0.10780000000000001
E07000077,0.5041
E07000078,0.9031
E07000079,0.0307
E07000080,0.1333
E07000081,0.8936
E07000082,0.8703
E07000083,0.4856
E07000084,0.3533
E07000085,0.4469
E07000086,0.0926
E07000087,0.3374
E07000088,0.4704
E07000089,0.3722
E07000090,0.6506
E07000091,0.4308
E07000092,0.2795
E07000093,0.1857
E07000094,0.1081
E07000095,0.4159
E07000096,0.6236
E07000098,0.6036
E07000099,0.3232
E07000102,0.8167
E07000103,0.4411
E07000105,0.2173
E07000106,0.4513
E07000107,0.7546
E07000108,0.0086
E07000109,0.9861
E07000110,0.0791
E07000111,0.5364
E07000112,0.5047
E07000113,0.207
E07000114,0.0665
E07000115,0.3401
E07000116,0.7176
E07000117,0.9969
E07000118,0.9047
E07000119,0.9102
E07000120,0.9545
E07000121,0.8577
E07000122,0.9991
E07000123,0.9211
E07000124,0.8233
E07000125,0.871
E07000126,0.8209
E07000127,0.9023
E07000128,0.7814
E07000129,0.391
E07000130,0.7085
E07000131,0.8172
E07000132,0.761
E07000133,0.244
E07000134,0.597
E07000135,0.9176
E07000136,0.2869
E07000137,0.4457
E07000138,0.5247
E07000139,0.7774
E07000140,0.1174
E07000141,0.6293
E07000142,0.6709
E07000143,0.3286
E07000144,0.3371
E07000145,0.8393
E07000146,0.1537
E07000147,0.0069
E07000148,0.5791
E07000149,0.0467
E07000150,0.7228
E07000151,0.3543
E07000152,0.551
E07000153,0.5256
E07000154,0.7213
E07000155,0.2942
E07000156,0.5288
E07000163,0.8763
E07000164,0.7649
E07000165,0.7676
E07000166,0.9816
E07000167,0.5006
E07000168,0.9746
E07000169,0.8149
E07000170,0.9315
E07000171,0.3874
E07000172,0.8479
E07000173,0.4219
E07000174,0.6918
E07000175,0.9271
E07000176,0.6564
E07000177,0.1809
E07000178,0.8081
E07000179,0.124
E07000180,0.32
E07000181,0.1484
E07000187,0.4313
E07000188,0.28
E07000189,0.1031
E07000192,0.8021
E07000193,0.3919
E07000194,0.2619
E07000195,0.5738
E07000196,0.6656
E07000197,0.7942
E07000198,0.4135
E07000199,0.4623
E07000200,0.1568
E07000202,0.0954
E07000203,0.1092
E07000207,0.7218
E07000208,0.2459
E07000209,0.5234
E07000210,0.3642
E07000211,0.1624
E07000212,0.7199
E07000213,0.8976
E07000214,0.8976
E07000215,0.3459
E07000216,0.948
E07000217,0.8455
E07000218,0.0841
E07000219,0.7471
E07000220,0.8539
E07000221,0.3074
E07000222,0.3122
E07000223,0.3727
E07000224,0.3016
E07000225,0.1148
E07000226,0.3825
E07000227,0.1413
E07000228,0.1648
E07000229,0.5415
E07000234,0.6528
E07000235,0.7188
E07000236,0.7155
E07000237,0.9174
E07000238,0.8033
E07000239,0.9512
E07000240,0.7869
E07000241,0.3052
E07000242,0.5079
E07000243,0.2471
E07000244,0.0663
E07000245,0.0393
E07000246,0.3493
E08000001,0.9417
E08000002,0.9629
E08000003,0.7757
E08000004,0.9234
E08000005,0.9801
E08000006,0.7775
E08000007,0.7491
E08000008,0.9448
E08000009,0.564
E08000010,0.904
E08000011,0.9881
E08000012,0.9622
E08000013,0.9775
E08000014,0.9809
E08000015,0.9163
E08000016,0.9145
E08000017,0.6092
E08000018,0.9134
E08000019,0.8688
E08000021,0.9935
E08000022,0.9906
E08000023,0.9919
E08000024,0.9899
E08000025,0.8376
E08000026,0.9611
E08000027,0.8784
E08000028,0.9563
E08000029,0.7288
E08000030,0.9487
E08000031,0.888
E08000032,0.8237
E08000033,0.9411
E08000034,0.7434
E08000035,0.6212
E08000036,0.8359
E08000037,0.9781
"E09000001,E09000033",0.0019
E09000002,0.9927
E09000003,0.6527
E09000004,0.951
E09000005,0.8532
E09000006,0.612
E09000007,0.2039
E09000008,0.4482
E09000009,0.8509
E09000010,0.824
E09000011,0.7746
E09000012,0.6728
E09000013,0.3819
E09000014,0.7583
E09000015,0.8576
E09000016,0.9518
E09000017,0.7922
E09000018,0.8085
E09000019,0.514
E09000020,0.1779
E09000021,0.587
E09000022,0.6543
E09000023,0.381
E09000024,0.329
E09000025,0.9136
E09000026,0.9103
E09000027,0.6095
E09000028,0.7384
E09000029,0.7928
E09000030,0.8727
E09000031,0.7794
E09000032,0.8222
