lad19cd,ex_prob
E06000001,0.8657
E06000002,0.8203
E06000003,0.7597
E06000004,0.5458
E06000005,0.4171
E06000006,0.9992
E06000007,0.7256
E06000008,0.9781
E06000009,0.8844
E06000010,0.2826
E06000011,0.1718
E06000012,0.3762
E06000013,0.4145
E06000014,0.523
E06000015,0.5612
E06000016,0.8276
E06000017,0.1855
E06000018,0.4281
E06000019,0.1023
E06000020,0.3413
E06000021,0.8136
E06000022,0.192
E06000023,0.1055
E06000024,0.6534
E06000025,0.2233
E06000026,0.1261
E06000027,0.1473
E06000030,0.0531
E06000031,0.1736
E06000032,0.8144
E06000033,0.1811
E06000034,0.249
E06000035,0.0364
E06000036,0.3193
E06000037,0.1107
E06000038,0.0217
E06000039,0.1547
E06000040,0.0584
E06000041,0.0371
E06000042,0.3332
E06000043,0.0975
E06000044,0.2756
E06000045,0.2859
E06000046,0.0075
E06000047,0.5957
E06000049,0.5034
E06000050,0.467
E06000051,0.2735
"E06000052,E06000053",0.4954
E06000054,0.0393
E06000055,0.2774
E06000056,0.594
E06000057,0.9509
E06000058,0.1855
E06000059,0.0055
E07000004,0.5478
E07000005,0.0133
E07000006,0.018
E07000007,0.7869
E07000008,0.0768
E07000009,0.0014
E07000010,0.1147
E07000011,0.0161
E07000012,0.1003
E07000026,0.7862
E07000027,0.9823
E07000028,0.1794
E07000029,0.7746
E07000030,0.7612
E07000031,0.4634
E07000032,0.7396
E07000033,0.4376
E07000034,0.1995
E07000035,0.4594
E07000036,0.6852
E07000037,0.5961
E07000038,0.4126
E07000039,0.7492
E07000040,0.0655
E07000041,0.0517
E07000042,0.0226
E07000043,0.006
E07000044,0.0596
E07000045,0.0105
E07000046,0.0104
E07000047,0.0409
E07000061,0.0375
E07000062,0.0272
E07000063,0.0254
E07000064,0.0873
E07000065,0.0191
E07000066,0.2428
E07000067,0.1792
E07000068,0.5603
E07000069,0.5441
E07000070,0.1746
E07000071,0.2569
E07000072,0.8563
E07000073,0.5975
E07000074,0.353
E07000075,0.1144
E07000076,0.2816
E07000077,0.792
E07000078,0.0486
E07000079,0.2688
E07000080,0.1881
E07000081,0.4335
E07000082,0.1386
E07000083,0.0274
E07000084,0.204
E07000085,0.0994
E07000086,0.027
E07000087,0.2175
E07000088,0.0418
E07000089,0.021
E07000090,0.6417
E07000091,0.0472
E07000092,0.3073
E07000093,0.1903
E07000094,0.0084
E07000095,0.9847
E07000096,0.2212
E07000098,0.7659
E07000099,0.3521
