analysis_timestamp,lad19cd,ex_prob
2020-07-05T14:01:02Z,E06000001,0.314
2020-07-05T14:01:02Z,E06000002,0.378
2020-07-05T14:01:02Z,E06000003,0.393
2020-07-05T14:01:02Z,E06000004,0.342
2020-07-05T14:01:02Z,E06000005,0.307
2020-07-05T14:01:02Z,E06000006,0.302
2020-07-05T14:01:02Z,E06000007,0.358
2020-07-05T14:01:02Z,E06000008,0.234
2020-07-05T14:01:02Z,E06000009,0.414
2020-07-05T14:01:02Z,E06000010,0.357
2020-07-05T14:01:02Z,E06000011,0.319
2020-07-05T14:01:02Z,E06000012,0.119
2020-07-05T14:01:02Z,E06000013,0.274
2020-07-05T14:01:02Z,E06000014,0.369
2020-07-05T14:01:02Z,E06000015,0.268
2020-07-05T14:01:02Z,E06000016,0.145
2020-07-05T14:01:02Z,E06000017,0.154
2020-07-05T14:01:02Z,E06000018,0.227
2020-07-05T14:01:02Z,E06000019,0.497
2020-07-05T14:01:02Z,E06000020,0.448
2020-07-05T14:01:02Z,E06000021,0.224
2020-07-05T14:01:02Z,E06000022,0.188
2020-07-05T14:01:02Z,E06000023,0.295
2020-07-05T14:01:02Z,E06000024,0.431
2020-07-05T14:01:02Z,E06000025,0.3
2020-07-05T14:01:02Z,E06000026,0.275
2020-07-05T14:01:02Z,E06000027,0.278
2020-07-05T14:01:02Z,E06000030,0.337
2020-07-05T14:01:02Z,E06000031,0.322
2020-07-05T14:01:02Z,E06000032,0.355
2020-07-05T14:01:02Z,E06000033,0.23
2020-07-05T14:01:02Z,E06000034,0.278
2020-07-05T14:01:02Z,E06000035,0.303
2020-07-05T14:01:02Z,E06000036,0.258
2020-07-05T14:01:02Z,E06000037,0.227
2020-07-05T14:01:02Z,E06000038,0.325
2020-07-05T14:01:02Z,E06000039,0.258
2020-07-05T14:01:02Z,E06000040,0.094
2020-07-05T14:01:02Z,E06000041,0.27
2020-07-05T14:01:02Z,E06000042,0.245
2020-07-05T14:01:02Z,E06000043,0.278
2020-07-05T14:01:02Z,E06000044,0.236
2020-07-05T14:01:02Z,E06000045,0.406
2020-07-05T14:01:02Z,E06000046,0.403
2020-07-05T14:01:02Z,E06000047,0.304
2020-07-05T14:01:02Z,E06000049,0.381
2020-07-05T14:01:02Z,E06000050,0.342
2020-07-05T14:01:02Z,E06000051,0.502
2020-07-05T14:01:02Z,"E06000052,E06000053",0.083
2020-07-05T14:01:02Z,E06000054,0.338
2020-07-05T14:01:02Z,E06000055,0.552
2020-07-05T14:01:02Z,E06000056,0.326
2020-07-05T14:01:02Z,E06000057,0.42
2020-07-05T14:01:02Z,E06000058,0.205
2020-07-05T14:01:02Z,E06000059,0.146
2020-07-05T14:01:02Z,E07000004,0.422
2020-07-05T14:01:02Z,E07000005,0.25
2020-07-05T14:01:02Z,E07000006,0.102
2020-07-05T14:01:02Z,E07000007,0.144
2020-07-05T14:01:02Z,E07000008,0.27
2020-07-05T14:01:02Z,E07000009,0.266
2020-07-05T14:01:02Z,E07000010,0.33
2020-07-05T14:01:02Z,E07000011,0.466
2020-07-05T14:01:02Z,E07000012,0.227
2020-07-05T14:01:02Z,E07000026,0.331
2020-07-05T14:01:02Z,E07000027,0.385
2020-07-05T14:01:02Z,E07000028,0.337
2020-07-05T14:01:02Z,E07000029,0.387
2020-07-05T14:01:02Z,E07000030,0.286
2020-07-05T14:01:02Z,E07000031,0.316
2020-07-05T14:01:02Z,E07000032,0.216
2020-07-05T14:01:02Z,E07000033,0.149
2020-07-05T14:01:02Z,E07000034,0.269
2020-07-05T14:01:02Z,E07000035,0.169
2020-07-05T14:01:02Z,E07000036,0.201
2020-07-05T14:01:02Z,E07000037,0.231
2020-07-05T14:01:02Z,E07000038,0.299
2020-07-05T14:01:02Z,E07000039,0.243
2020-07-05T14:01:02Z,E07000040,0.189
2020-07-05T14:01:02Z,E07000041,0.259
2020-07-05T14:01:02Z,E07000042,0.374
2020-07-05T14:01:02Z,E07000043,0.235
2020-07-05T14:01:02Z,E07000044,0.282
2020-07-05T14:01:02Z,E07000045,0.213
2020-07-05T14:01:02Z,E07000046,0.217
2020-07-05T14:01:02Z,E07000047,0.215
2020-07-05T14:01:02Z,E07000061,0.341
2020-07-05T14:01:02Z,E07000062,0.216
2020-07-05T14:01:02Z,E07000063,0.368
2020-07-05T14:01:02Z,E07000064,0.205
2020-07-05T14:01:02Z,E07000065,0.291
2020-07-05T14:01:02Z,E07000066,0.296
2020-07-05T14:01:02Z,E07000067,0.264
2020-07-05T14:01:02Z,E07000068,0.137
2020-07-05T14:01:02Z,E07000069,0.228
2020-07-05T14:01:02Z,E07000070,0.271
2020-07-05T14:01:02Z,E07000071,0.394
2020-07-05T14:01:02Z,E07000072,0.287
2020-07-05T14:01:02Z,E07000073,0.356
2020-07-05T14:01:02Z,E07000074,0.197
2020-07-05T14:01:02Z,E07000075,0.257
2020-07-05T14:01:02Z,E07000076,0.409
2020-07-05T14:01:02Z,E07000077,0.291
2020-07-05T14:01:02Z,E07000078,0.412
2020-07-05T14:01:02Z,E07000079,0.22
2020-07-05T14:01:02Z,E07000080,0.3
2020-07-05T14:01:02Z,E07000081,0.431
2020-07-05T14:01:02Z,E07000082,0.282
2020-07-05T14:01:02Z,E07000083,0.349
2020-07-05T14:01:02Z,E07000084,0.408
2020-07-05T14:01:02Z,E07000085,0.412
2020-07-05T14:01:02Z,E07000086,0.322
2020-07-05T14:01:02Z,E07000087,0.249
2020-07-05T14:01:02Z,E07000088,0.331
2020-07-05T14:01:02Z,E07000089,0.289
2020-07-05T14:01:02Z,E07000090,0.295
2020-07-05T14:01:02Z,E07000091,0.276
2020-07-05T14:01:02Z,E07000092,0.481
2020-07-05T14:01:02Z,E07000093,0.339
2020-07-05T14:01:02Z,E07000094,0.336
2020-07-05T14:01:02Z,E07000095,0.223
2020-07-05T14:01:02Z,E07000096,0.256
2020-07-05T14:01:02Z,E07000098,0.258
2020-07-05T14:01:02Z,E07000099,0.28
2020-07-05T14:01:02Z,E07000102,0.299
2020-07-05T14:01:02Z,E07000103,0.344
2020-07-05T14:01:02Z,E07000105,0.394
2020-07-05T14:01:02Z,E07000106,0.229
2020-07-05T14:01:02Z,E07000107,0.317
2020-07-05T14:01:02Z,E07000108,0.324
2020-07-05T14:01:02Z,E07000109,0.35
2020-07-05T14:01:02Z,E07000110,0.256
2020-07-05T14:01:02Z,E07000111,0.234
2020-07-05T14:01:02Z,E07000112,0.279
2020-07-05T14:01:02Z,E07000113,0.279
2020-07-05T14:01:02Z,E07000114,0.28
2020-07-05T14:01:02Z,E07000115,0.209
2020-07-05T14:01:02Z,E07000116,0.419
2020-07-05T14:01:02Z,E07000117,0.264
2020-07-05T14:01:02Z,E07000118,0.432
2020-07-05T14:01:02Z,E07000119,0.352
2020-07-05T14:01:02Z,E07000120,0.212
2020-07-05T14:01:02Z,E07000121,0.368
2020-07-05T14:01:02Z,E07000122,0.234
2020-07-05T14:01:02Z,E07000123,0.379
2020-07-05T14:01:02Z,E07000124,0.161
2020-07-05T14:01:02Z,E07000125,0.254
