analysis_timestamp,lad19cd,ex_prob
2020-07-13T09:28:36Z,E07000111,0.189
2020-07-13T09:28:36Z,E07000112,0.153
2020-07-13T09:28:36Z,E07000113,0.342
2020-07-13T09:28:36Z,E07000114,0.299
2020-07-13T09:28:36Z,E07000115,0.153
2020-07-13T09:28:36Z,E07000116,0.332
2020-07-13T09:28:36Z,E07000117,0.342
2020-07-13T09:28:36Z,E07000118,0.434
2020-07-13T09:28:36Z,E07000119,0.413
2020-07-13T09:28:36Z,E07000120,0.318
2020-07-13T09:28:36Z,E07000121,0.398
2020-07-13T09:28:36Z,E07000122,0.36
2020-07-13T09:28:36Z,E07000123,0.355
2020-07-13T09:28:36Z,E07000124,0.267
2020-07-13T09:28:36Z,E07000125,0.32
2020-07-13T09:28:36Z,E07000126,0.333
2020-07-13T09:28:36Z,E07000127,0.416
2020-07-13T09:28:36Z,E07000128,0.47
2020-07-13T09:28:36Z,E07000129,0.129
2020-07-13T09:28:36Z,E07000130,0.156
2020-07-13T09:28:36Z,E07000131,0.114
2020-07-13T09:28:36Z,E07000132,0.153
2020-07-13T09:28:36Z,E07000133,0.116
2020-07-13T09:28:36Z,E07000134,0.093
2020-07-13T09:28:36Z,E07000135,0.131
2020-07-13T09:28:36Z,E07000136,0.337
2020-07-13T09:28:36Z,E07000137,0.161
2020-07-13T09:28:36Z,E07000138,0.194
2020-07-13T09:28:36Z,E07000139,0.161
2020-07-13T09:28:36Z,E07000140,0.435
2020-07-13T09:28:36Z,E07000141,0.235
2020-07-13T09:28:36Z,E07000142,0.155
2020-07-13T09:28:36Z,E07000143,0.386
2020-07-13T09:28:36Z,E07000144,0.451
2020-07-13T09:28:36Z,E07000145,0.434
2020-07-13T09:28:36Z,E07000146,0.459
2020-07-13T09:28:36Z,E07000147,0.291
2020-07-13T09:28:36Z,E07000148,0.366
2020-07-13T09:28:36Z,E07000149,0.347
2020-07-13T09:28:36Z,E07000150,0.273
2020-07-13T09:28:36Z,E07000151,0.105
2020-07-13T09:28:36Z,E07000152,0.189
2020-07-13T09:28:36Z,E07000153,0.31
2020-07-13T09:28:36Z,E07000154,0.196
2020-07-13T09:28:36Z,E07000155,0.1
2020-07-13T09:28:36Z,E07000156,0.201
2020-07-13T09:28:36Z,E07000163,0.24
2020-07-13T09:28:36Z,E07000164,0.31
2020-07-13T09:28:36Z,E07000165,0.368
2020-07-13T09:28:36Z,E07000166,0.33
2020-07-13T09:28:36Z,E07000167,0.419
2020-07-13T09:28:36Z,E07000168,0.476
2020-07-13T09:28:36Z,E07000169,0.254
2020-07-13T09:28:36Z,E07000170,0.273
2020-07-13T09:28:36Z,E07000171,0.36
2020-07-13T09:28:36Z,E07000172,0.218
2020-07-13T09:28:36Z,E07000173,0.247
2020-07-13T09:28:36Z,E07000174,0.187
2020-07-13T09:28:36Z,E07000175,0.164
2020-07-13T09:28:36Z,E07000176,0.146
2020-07-13T09:28:36Z,E07000177,0.211
2020-07-13T09:28:36Z,E07000178,0.352
2020-07-13T09:28:36Z,E07000179,0.401
2020-07-13T09:28:36Z,E07000180,0.324
2020-07-13T09:28:36Z,E07000181,0.398
2020-07-13T09:28:36Z,E07000187,0.199
2020-07-13T09:28:36Z,E07000188,0.397
2020-07-13T09:28:36Z,E07000189,0.244
2020-07-13T09:28:36Z,E07000192,0.263
2020-07-13T09:28:36Z,E07000193,0.308
2020-07-13T09:28:36Z,E07000194,0.223
2020-07-13T09:28:36Z,E07000195,0.199
2020-07-13T09:28:36Z,E07000196,0.235
2020-07-13T09:28:36Z,E07000197,0.238
2020-07-13T09:28:36Z,E07000198,0.249
2020-07-13T09:28:36Z,E07000199,0.275
2020-07-13T09:28:36Z,E07000200,0.376
2020-07-13T09:28:36Z,E07000202,0.469
2020-07-13T09:28:36Z,E07000203,0.419
2020-07-13T09:28:36Z,E07000207,0.239
2020-07-13T09:28:36Z,E07000208,0.291
2020-07-13T09:28:36Z,E07000209,0.3
2020-07-13T09:28:36Z,E07000210,0.247
2020-07-13T09:28:36Z,E07000211,0.365
2020-07-13T09:28:36Z,E07000212,0.22
2020-07-13T09:28:36Z,E07000213,0.257
2020-07-13T09:28:36Z,E07000214,0.369
2020-07-13T09:28:36Z,E07000215,0.273
2020-07-13T09:28:36Z,E07000216,0.363
2020-07-13T09:28:36Z,E07000217,0.291
2020-07-13T09:28:36Z,E07000218,0.194
2020-07-13T09:28:36Z,E07000219,0.452
2020-07-13T09:28:36Z,E07000220,0.184
2020-07-13T09:28:36Z,E07000221,0.24
2020-07-13T09:28:36Z,E07000222,0.146
2020-07-13T09:28:36Z,E07000223,0.318
2020-07-13T09:28:36Z,E07000224,0.257
2020-07-13T09:28:36Z,E07000225,0.208
2020-07-13T09:28:36Z,E07000226,0.26
2020-07-13T09:28:36Z,E07000227,0.389
2020-07-13T09:28:36Z,E07000228,0.356
2020-07-13T09:28:36Z,E07000229,0.357
2020-07-13T09:28:36Z,E07000234,0.299
2020-07-13T09:28:36Z,E07000235,0.281
2020-07-13T09:28:36Z,E07000236,0.265
2020-07-13T09:28:36Z,E07000237,0.3
2020-07-13T09:28:36Z,E07000238,0.276
2020-07-13T09:28:36Z,E07000239,0.383
2020-07-13T09:28:36Z,E07000240,0.284
2020-07-13T09:28:36Z,E07000241,0.198
2020-07-13T09:28:36Z,E07000242,0.203
2020-07-13T09:28:36Z,E07000243,0.291
2020-07-13T09:28:36Z,E07000244,0.43
2020-07-13T09:28:36Z,E07000245,0.387
2020-07-13T09:28:36Z,E07000246,0.394
2020-07-13T09:28:36Z,E08000001,0.265
2020-07-13T09:28:36Z,E08000002,0.374
2020-07-13T09:28:36Z,E08000003,0.316
2020-07-13T09:28:36Z,E08000004,0.237
2020-07-13T09:28:36Z,E08000005,0.221
2020-07-13T09:28:36Z,E08000006,0.238
2020-07-13T09:28:36Z,E08000007,0.441
2020-07-13T09:28:36Z,E08000008,0.381
2020-07-13T09:28:36Z,E08000009,0.256
2020-07-13T09:28:36Z,E08000010,0.448
2020-07-13T09:28:36Z,E08000011,0.331
2020-07-13T09:28:36Z,E08000012,0.298
2020-07-13T09:28:36Z,E08000013,0.415
2020-07-13T09:28:36Z,E08000014,0.339
2020-07-13T09:28:36Z,E08000015,0.465
2020-07-13T09:28:36Z,E08000016,0.255
2020-07-13T09:28:36Z,E08000017,0.276
2020-07-13T09:28:36Z,E08000018,0.234
2020-07-13T09:28:36Z,E08000019,0.143
2020-07-13T09:28:36Z,E08000021,0.381
2020-07-13T09:28:36Z,E08000022,0.4
2020-07-13T09:28:36Z,E08000023,0.521
2020-07-13T09:28:36Z,E08000024,0.515
2020-07-13T09:28:36Z,E08000025,0.26
2020-07-13T09:28:36Z,E08000026,0.33
2020-07-13T09:28:36Z,E08000027,0.342
2020-07-13T09:28:36Z,E08000028,0.392
