analysis_timestamp,lad19cd,ex_prob
2020-07-07T15:47:33Z,E06000001,0.537
2020-07-07T15:47:33Z,E06000002,0.485
2020-07-07T15:47:33Z,E06000003,0.459
2020-07-07T15:47:33Z,E06000004,0.493
2020-07-07T15:47:33Z,E06000005,0.511
2020-07-07T15:47:33Z,E06000006,0.387
2020-07-07T15:47:33Z,E06000007,0.361
2020-07-07T15:47:33Z,E06000008,0.38
2020-07-07T15:47:33Z,E06000009,0.346
2020-07-07T15:47:33Z,E06000010,0.5
2020-07-07T15:47:33Z,E06000011,0.386
2020-07-07T15:47:33Z,E06000012,0.17
2020-07-07T15:47:33Z,E06000013,0.391
2020-07-07T15:47:33Z,E06000014,0.359
2020-07-07T15:47:33Z,E06000015,0.254
2020-07-07T15:47:33Z,E06000016,0.134
2020-07-07T15:47:33Z,E06000017,0.123
2020-07-07T15:47:33Z,E06000018,0.256
2020-07-07T15:47:33Z,E06000019,0.306
2020-07-07T15:47:33Z,E06000020,0.264
2020-07-07T15:47:33Z,E06000021,0.264
2020-07-07T15:47:33Z,E06000022,0.176
2020-07-07T15:47:33Z,E06000023,0.263
2020-07-07T15:47:33Z,E06000024,0.355
2020-07-07T15:47:33Z,E06000025,0.252
2020-07-07T15:47:33Z,E06000026,0.322
2020-07-07T15:47:33Z,E06000027,0.266
2020-07-07T15:47:33Z,E06000030,0.401
2020-07-07T15:47:33Z,E06000031,0.245
2020-07-07T15:47:33Z,E06000032,0.274
2020-07-07T15:47:33Z,E06000033,0.222
2020-07-07T15:47:33Z,E06000034,0.294
2020-07-07T15:47:33Z,E06000035,0.376
2020-07-07T15:47:33Z,E06000036,0.25
2020-07-07T15:47:33Z,E06000037,0.305
2020-07-07T15:47:33Z,E06000038,0.417
2020-07-07T15:47:33Z,E06000039,0.291
2020-07-07T15:47:33Z,E06000040,0.131
2020-07-07T15:47:33Z,E06000041,0.313
2020-07-07T15:47:33Z,E06000042,0.222
2020-07-07T15:47:33Z,E06000043,0.342
2020-07-07T15:47:33Z,E06000044,0.244
2020-07-07T15:47:33Z,E06000045,0.442
2020-07-07T15:47:33Z,E06000046,0.446
2020-07-07T15:47:33Z,E06000047,0.489
2020-07-07T15:47:33Z,E06000049,0.352
2020-07-07T15:47:33Z,E06000050,0.422
2020-07-07T15:47:33Z,E06000051,0.36
2020-07-07T15:47:33Z,"E06000052,E06000053",0.095
2020-07-07T15:47:33Z,E06000054,0.332
2020-07-07T15:47:33Z,E06000055,0.344
2020-07-07T15:47:33Z,E06000056,0.375
2020-07-07T15:47:33Z,E06000057,0.494
2020-07-07T15:47:33Z,E06000058,0.236
2020-07-07T15:47:33Z,E06000059,0.111
2020-07-07T15:47:33Z,E07000004,0.337
2020-07-07T15:47:33Z,E07000005,0.26
2020-07-07T15:47:33Z,E07000006,0.143
2020-07-07T15:47:33Z,E07000007,0.165
2020-07-07T15:47:33Z,E07000008,0.176
2020-07-07T15:47:33Z,E07000009,0.209
2020-07-07T15:47:33Z,E07000010,0.339
2020-07-07T15:47:33Z,E07000011,0.282
2020-07-07T15:47:33Z,E07000012,0.151
2020-07-07T15:47:33Z,E07000026,0.268
2020-07-07T15:47:33Z,E07000027,0.375
2020-07-07T15:47:33Z,E07000028,0.24
2020-07-07T15:47:33Z,E07000029,0.333
2020-07-07T15:47:33Z,E07000030,0.205
2020-07-07T15:47:33Z,E07000031,0.315
2020-07-07T15:47:33Z,E07000032,0.212
2020-07-07T15:47:33Z,E07000033,0.22
2020-07-07T15:47:33Z,E07000034,0.236
2020-07-07T15:47:33Z,E07000035,0.127
2020-07-07T15:47:33Z,E07000036,0.243
2020-07-07T15:47:33Z,E07000037,0.289
2020-07-07T15:47:33Z,E07000038,0.261
2020-07-07T15:47:33Z,E07000039,0.195
2020-07-07T15:47:33Z,E07000040,0.213
2020-07-07T15:47:33Z,E07000041,0.269
2020-07-07T15:47:33Z,E07000042,0.372
2020-07-07T15:47:33Z,E07000043,0.241
2020-07-07T15:47:33Z,E07000044,0.364
2020-07-07T15:47:33Z,E07000045,0.233
2020-07-07T15:47:33Z,E07000046,0.222
2020-07-07T15:47:33Z,E07000047,0.275
2020-07-07T15:47:33Z,E07000061,0.287
2020-07-07T15:47:33Z,E07000062,0.141
2020-07-07T15:47:33Z,E07000063,0.349
2020-07-07T15:47:33Z,E07000064,0.12
2020-07-07T15:47:33Z,E07000065,0.251
2020-07-07T15:47:33Z,E07000066,0.308
2020-07-07T15:47:33Z,E07000067,0.3
2020-07-07T15:47:33Z,E07000068,0.183
2020-07-07T15:47:33Z,E07000069,0.174
2020-07-07T15:47:33Z,E07000070,0.27
2020-07-07T15:47:33Z,E07000071,0.328
2020-07-07T15:47:33Z,E07000072,0.246
2020-07-07T15:47:33Z,E07000073,0.343
2020-07-07T15:47:33Z,E07000074,0.186
2020-07-07T15:47:33Z,E07000075,0.201
2020-07-07T15:47:33Z,E07000076,0.418
2020-07-07T15:47:33Z,E07000077,0.274
2020-07-07T15:47:33Z,E07000078,0.373
2020-07-07T15:47:33Z,E07000079,0.234
2020-07-07T15:47:33Z,E07000080,0.23
2020-07-07T15:47:33Z,E07000081,0.431
2020-07-07T15:47:33Z,E07000082,0.273
2020-07-07T15:47:33Z,E07000083,0.315
2020-07-07T15:47:33Z,E07000084,0.414
2020-07-07T15:47:33Z,E07000085,0.37
2020-07-07T15:47:33Z,E07000086,0.367
2020-07-07T15:47:33Z,E07000087,0.282
2020-07-07T15:47:33Z,E07000088,0.338
2020-07-07T15:47:33Z,E07000089,0.269
