lad19cd,ex_prob
E06000001,0.9612
E06000002,0.5839
E06000003,0.3018
E06000004,0.7195
E06000005,0.5023
E06000006,0.9946
E06000007,0.952
E06000008,0.9961
E06000009,0.816
E06000010,0.2276
E06000011,0.7562
E06000012,0.1513
E06000013,0.8434
E06000014,0.936
E06000015,0.7965
E06000016,0.947
E06000017,0.4375
E06000018,0.5141
E06000019,0.5684
E06000020,0.3064
E06000021,0.7784
E06000022,0.0195
E06000023,0.1061
E06000024,0.0899
E06000025,0.2433
E06000026,0.5752
E06000027,0
E06000030,0.2949
E06000031,0.7563
E06000032,0.726
E06000033,0.5657
E06000034,0.328
E06000035,0.1185
E06000036,0.7072
E06000037,0.0475
E06000038,0.0329
E06000039,0.5836
E06000040,0.9687
E06000041,0.3192
E06000042,0.2613
E06000043,0.6155
E06000044,0.2296
E06000045,0.1536
E06000046,0.1037
E06000047,0.4573
E06000049,0.4851
E06000050,0.7146
E06000051,0.4427
"E06000052,E06000053",0.1714
E06000054,0.0342
E06000055,0.6112
E06000056,0.349
E06000057,0.695
E06000058,0.326
E06000059,0.0106
E07000004,0.2165
E07000005,0.4303
E07000006,0.529
E07000007,0.2598
E07000008,0.1319
E07000009,0.0574
E07000010,0.5533
E07000011,0.6576
E07000012,0.1553
E07000026,0.5867
E07000027,0.9885
E07000028,0.0948
E07000029,0.7057
E07000030,0.4252
E07000031,0.1327
E07000032,0.8467
E07000033,0.9614
E07000034,0.662
E07000035,0.1292
E07000036,0.6945
E07000037,0.976
E07000038,0.8904
E07000039,0.5979
E07000040,0.0582
E07000041,0.1312
E07000042,0.0869
E07000043,0.0763
E07000044,0.0028
E07000045,0.0388
E07000046,0.1806
E07000047,0.039
E07000061,0.0195
E07000062,0.4067
E07000063,0.0148
E07000064,0.0128
E07000065,0.0592
E07000066,0.5441
E07000067,0.0364
E07000068,0.2747
E07000069,0.9699
E07000070,0.1383
E07000071,0.2004
E07000072,0.4316
E07000073,0.3202
E07000074,0.0612
E07000075,0.5078
E07000076,0.0312
E07000077,0.0513
E07000078,0.4344
E07000079,0.1254
E07000080,0.5217
E07000081,0.2008
E07000082,0.2086
E07000083,0.146
E07000084,0.0426
E07000085,0.075
E07000086,0.0141
E07000087,0.1348
E07000088,0.2772
E07000089,0.2494
E07000090,0.4521
E07000091,0.0427
E07000092,0.6693
E07000093,0.066
E07000094,0.0349
E07000095,0.4796
E07000096,0.1547
E07000098,0.757
E07000099,0.3528
E07000102,0.487
E07000103,0.4127
E07000105,0.0102
E07000106,0.0237
E07000107,0.7822
E07000108,0.0011
E07000109,0.488
E07000110,0.022
E07000111,0.1529
E07000112,0.0612
E07000113,0.0595
E07000114,0.2952
E07000115,0.3735
E07000116,0.1808
E07000117,0.9989
E07000118,0.9619
E07000119,0.8236
E07000120,0.9992
E07000121,0.827
E07000122,0.9709
E07000123,0.9935
E07000124,0.3139
E07000125,0.9995
E07000126,0.7526
E07000127,0.5534
E07000128,0.972
E07000129,0.9135
E07000130,0.8774
E07000131,0.7096
E07000132,0.761
E07000133,0.5659
E07000134,0.036
E07000135,0.9986
E07000136,0.3902
E07000137,0.4874
E07000138,0.5382
E07000139,0.5171
E07000140,0.6418
E07000141,0.7753
E07000142,0.8226
E07000143,0.5653
E07000144,0.1554
E07000145,0.537
E07000146,0.1491
E07000147,0.0041
E07000148,0.3092
E07000149,0.1598
E07000150,0.8975
E07000151,0.4125
E07000152,0.6083
E07000153,0.8498
E07000154,0.8895
E07000155,0.2317
E07000156,0.8972
E07000163,0.6634
E07000164,0.8967
E07000165,0.5264
E07000166,0.6325
E07000167,0.1257
E07000168,0.8855
E07000169,0.8528
E07000170,0.7774
E07000171,0.2948
E07000172,0.8537
E07000173,0.6108
E07000174,0.8917
E07000175,0.4608
E07000176,0.7764
E07000177,0.4483
E07000178,0.5801
E07000179,0.0268
E07000180,0.1285
E07000181,0.2056
E07000187,0.4236
E07000188,0.127
E07000189,0.0277
E07000192,0.9143
E07000193,0.4548
E07000194,0.262
E07000195,0.5704
E07000196,0.7694
E07000197,0.4431
E07000198,0.4873
E07000199,0.7411
E07000200,0.0097
E07000202,0.0966
E07000203,0.1806
E07000207,0.2916
E07000208,0.269
E07000209,0.3127
E07000210,0.321
E07000211,0.4927
E07000212,0.7687
E07000213,0.9271
E07000214,0.2251
E07000215,0.7744
E07000216,0.0921
E07000217,0.4468
E07000218,0.0042
E07000219,0.8064
E07000220,0.96
E07000221,0.1937
E07000222,0.1818
E07000223,0.8038
E07000224,0.0544
E07000225,0.235
E07000226,0.214
E07000227,0.777
E07000228,0.1042
E07000229,0.3669
E07000234,0.4552
E07000235,0.6767
E07000236,0.2819
E07000237,0.409
E07000238,0.4938
E07000239,0.8354
E07000240,0.9679
E07000241,0.8094
E07000242,0.2178
E07000243,0.9664
E07000244,0.1759
E07000245,0.4892
E07000246,0.1469
E08000001,0.9763
E08000002,0.9443
E08000003,0.6738
E08000004,0.9843
E08000005,0.9699
E08000006,0.9248
E08000007,0.7018
E08000008,0.9654
E08000009,0.5607
E08000010,0.6607
E08000011,0.9793
E08000012,0.9216
E08000013,0.9792
E08000014,0.9141
E08000015,0.9619
E08000016,0.5299
E08000017,0.7276
E08000018,0.7618
E08000019,0.6943
E08000021,0.6431
E08000022,0.7328
E08000023,0.976
E08000024,0.7071
E08000025,0.4315
E08000026,0.672
E08000027,0.442
E08000028,0.7084
E08000029,0.5769
E08000030,0.7367
E08000031,0.749
E08000032,0.7752
E08000033,0.8358
E08000034,0.943
E08000035,0.545
E08000036,0.5837
E08000037,0.9328
"E09000001,E09000033",3e-4
E09000002,0.8456
E09000003,0.4418
E09000004,0.4577
E09000005,0.6648
E09000006,0.3814
E09000007,0.4267
E09000008,0.3977
E09000009,0.7205
E09000010,0.6629
E09000011,0.7703
E09000012,0.7786
E09000013,0.6121
E09000014,0.506
E09000015,0.6613
E09000016,0.5311
E09000017,0.2433
E09000018,0.7653
E09000019,0.1204
E09000020,0.351
E09000021,0.4973
E09000022,0.4122
E09000023,0.628
E09000024,0.4905
E09000025,0.5715
E09000026,0.8201
E09000027,0.4177
E09000028,0.3891
E09000029,0.3542
E09000030,0.4051
E09000031,0.7644
E09000032,0.6337
